Index,Elevation.1,Elevation.2,Leg distance.1,Leg distance.2,Leg time,Leg speed.1,Leg speed.2,Leg course,Time,Position
1,227,m,1,m,12:00:44 AM,0.1,km/h,342.0° true,10/26/2021 9:11,N56° 44.954' E60° 48.238'
2,228,m,87,m,12:02:27 AM,2.1,km/h,186.2° true,10/26/2021 9:11,N56° 44.955' E60° 48.237'
3,268,m,38,m,12:00:24 AM,6,km/h,270.8° true,10/26/2021 9:14,N56° 44.908' E60° 48.228'
4,249,m,4,m,12:00:31 AM,0.5,km/h,328.1° true,10/26/2021 9:14,N56° 44.908' E60° 48.191'
5,246,m,6,m,12:00:22 AM,1,km/h,79.7° true,10/26/2021 9:15,N56° 44.910' E60° 48.189'
6,244,m,5,m,12:00:50 AM,0.4,km/h,309.1° true,10/26/2021 9:15,N56° 44.911' E60° 48.195'
7,243,m,2,m,12:00:34 AM,0.2,km/h,158.8° true,10/26/2021 9:16,N56° 44.913' E60° 48.191'
8,245,m,2,m,12:00:37 AM,0.2,km/h,324.1° true,10/26/2021 9:16,N56° 44.911' E60° 48.192'
9,244,m,12,m,12:00:21 AM,2.1,km/h,78.7° true,10/26/2021 9:17,N56° 44.912' E60° 48.190'
10,244,m,4,m,12:00:03 AM,5,km/h,106.3° true,10/26/2021 9:17,N56° 44.914' E60° 48.202'
11,244,m,41,m,12:00:21 AM,7,km/h,90.5° true,10/26/2021 9:17,N56° 44.913' E60° 48.206'
12,244,m,64,m,12:00:19 AM,12,km/h,90.6° true,10/26/2021 9:18,N56° 44.913' E60° 48.246'
13,244,m,52,m,12:00:17 AM,11,km/h,92.4° true,10/26/2021 9:18,N56° 44.913' E60° 48.309'
14,239,m,29,m,12:00:16 AM,7,km/h,120.8° true,10/26/2021 9:18,N56° 44.911' E60° 48.360'
15,234,m,37,m,12:00:12 AM,11,km/h,173.1° true,10/26/2021 9:19,N56° 44.903' E60° 48.385'
16,234,m,81,m,12:00:17 AM,17,km/h,181.8° true,10/26/2021 9:19,N56° 44.884' E60° 48.389'
17,237,m,56,m,12:00:17 AM,12,km/h,178.4° true,10/26/2021 9:19,N56° 44.840' E60° 48.387'
18,239,m,35,m,12:00:15 AM,8,km/h,133.0° true,10/26/2021 9:19,N56° 44.810' E60° 48.388'
19,239,m,75,m,12:00:19 AM,14,km/h,91.3° true,10/26/2021 9:20,N56° 44.797' E60° 48.413'
20,238,m,175,m,12:00:32 AM,20,km/h,89.7° true,10/26/2021 9:20,N56° 44.796' E60° 48.487'
21,238,m,280,m,12:00:48 AM,21,km/h,89.8° true,10/26/2021 9:20,N56° 44.797' E60° 48.659'
22,238,m,233,m,12:00:39 AM,22,km/h,90.2° true,10/26/2021 9:21,N56° 44.797' E60° 48.935'
23,239,m,108,m,12:00:24 AM,16,km/h,90.6° true,10/26/2021 9:22,N56° 44.797' E60° 49.164'
24,241,m,46,m,12:00:20 AM,8,km/h,116.1° true,10/26/2021 9:22,N56° 44.796' E60° 49.270'
25,242,m,66,m,12:00:16 AM,15,km/h,171.4° true,10/26/2021 9:23,N56° 44.785' E60° 49.310'
26,242,m,130,m,12:00:19 AM,25,km/h,180.2° true,10/26/2021 9:23,N56° 44.750' E60° 49.320'
27,240,m,184,m,12:00:25 AM,27,km/h,183.7° true,10/26/2021 9:23,N56° 44.680' E60° 49.320'
28,241,m,158,m,12:00:23 AM,25,km/h,184.1° true,10/26/2021 9:24,N56° 44.581' E60° 49.308'
29,241,m,90,m,12:00:19 AM,17,km/h,180.8° true,10/26/2021 9:24,N56° 44.496' E60° 49.297'
30,240,m,51,m,12:00:14 AM,13,km/h,128.9° true,10/26/2021 9:24,N56° 44.448' E60° 49.296'
31,243,m,116,m,12:00:24 AM,17,km/h,97.8° true,10/26/2021 9:25,N56° 44.431' E60° 49.335'
32,244,m,173,m,12:00:35 AM,18,km/h,96.6° true,10/26/2021 9:25,N56° 44.422' E60° 49.447'
33,247,m,81,m,12:00:25 AM,12,km/h,94.6° true,10/26/2021 9:26,N56° 44.411' E60° 49.616'
34,247,m,22,m,12:00:17 AM,5,km/h,73.5° true,10/26/2021 9:26,N56° 44.408' E60° 49.695'
35,249,m,4,m,12:00:05 AM,3.1,km/h,33.5° true,10/26/2021 9:26,N56° 44.411' E60° 49.716'
36,250,m,38,m,12:00:18 AM,8,km/h,328.6° true,10/26/2021 9:26,N56° 44.413' E60° 49.719'
37,249,m,45,m,12:00:17 AM,10,km/h,269.4° true,10/26/2021 9:27,N56° 44.431' E60° 49.699'
