Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
1,99 m,6 m,0:00:33,0.6 km/h,342.7° true,11/6/2021 16:50,N18° 26.960' W68° 54.713'
2,98 m,4 m,0:01:07,0.2 km/h,339.1° true,11/6/2021 16:51,N18° 26.963' W68° 54.714'
3,96 m,4 m,0:00:37,0.3 km/h,271.5° true,11/6/2021 16:52,N18° 26.965' W68° 54.715'
4,94 m,9 m,0:00:40,0.8 km/h,322.8° true,11/6/2021 16:52,N18° 26.965' W68° 54.717'
5,87 m,2 m,0:00:31,0.2 km/h,37.7° true,11/6/2021 16:53,N18° 26.969' W68° 54.720'
6,85 m,3 m,0:00:45,0.3 km/h,230.9° true,11/6/2021 16:53,N18° 26.970' W68° 54.720'
7,84 m,2 m,0:00:29,0.2 km/h,262.4° true,11/6/2021 16:54,N18° 26.969' W68° 54.721'
8,83 m,1 m,0:00:32,0.2 km/h,150.7° true,11/6/2021 16:55,N18° 26.969' W68° 54.722'
9,83 m,3 m,0:00:31,0.3 km/h,311.6° true,11/6/2021 16:55,N18° 26.968' W68° 54.722'
10,82 m,1 m,0:00:33,0.1 km/h,209.1° true,11/6/2021 16:56,N18° 26.969' W68° 54.723'
11,81 m,1 m,0:00:35,0.1 km/h,29.5° true,11/6/2021 16:56,N18° 26.968' W68° 54.723'
12,82 m,1 m,0:00:30,0.1 km/h,161.9° true,11/6/2021 16:57,N18° 26.969' W68° 54.723'
13,82 m,0 m,0:00:30,0.0 km/h,196.1° true,11/6/2021 16:57,N18° 26.968' W68° 54.723'
14,82 m,1 m,0:00:30,0.2 km/h,238.1° true,11/6/2021 16:58,N18° 26.968' W68° 54.723'
15,82 m,1 m,0:00:31,0.1 km/h,167.0° true,11/6/2021 16:58,N18° 26.968' W68° 54.723'
16,82 m,3 m,0:00:37,0.3 km/h,321.6° true,11/6/2021 16:59,N18° 26.968' W68° 54.723'
17,81 m,1 m,0:00:32,0.1 km/h,296.9° true,11/6/2021 16:59,N18° 26.969' W68° 54.724'
18,81 m,1 m,0:00:31,0.1 km/h,119.7° true,11/6/2021 17:00,N18° 26.969' W68° 54.725'
19,81 m,2 m,0:00:35,0.2 km/h,173.3° true,11/6/2021 17:01,N18° 26.969' W68° 54.724'
20,80 m,2 m,0:00:33,0.3 km/h,80.2° true,11/6/2021 17:01,N18° 26.968' W68° 54.724'
21,80 m,2 m,0:00:31,0.2 km/h,113.3° true,11/6/2021 17:02,N18° 26.968' W68° 54.723'
22,80 m,0 m,0:00:34,0.0 km/h,231.0° true,11/6/2021 17:02,N18° 26.968' W68° 54.722'
