Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
1,243 m,2 m,0:00:16,0.3 km/h,317.1° true,4/14/2022 3:12,N56° 44.967' E60° 48.246'
2,243 m,4 m,0:00:19,0.8 km/h,124.7° true,4/14/2022 3:12,N56° 44.968' E60° 48.245'
3,242 m,1 m,0:00:18,0.1 km/h,42.8° true,4/14/2022 3:12,N56° 44.967' E60° 48.249'
4,242 m,1 m,0:00:20,0.1 km/h,337.6° true,4/14/2022 3:13,N56° 44.967' E60° 48.249'
5,241 m,4 m,0:00:24,0.6 km/h,332.6° true,4/14/2022 3:13,N56° 44.967' E60° 48.249'
6,241 m,2 m,0:00:25,0.3 km/h,183.0° true,4/14/2022 3:13,N56° 44.969' E60° 48.247'
7,240 m,1 m,0:00:29,0.1 km/h,4.3° true,4/14/2022 3:14,N56° 44.968' E60° 48.247'
8,240 m,1 m,0:00:16,0.2 km/h,198.6° true,4/14/2022 3:14,N56° 44.969' E60° 48.247'
9,240 m,6 m,0:00:23,0.9 km/h,298.7° true,4/14/2022 3:15,N56° 44.968' E60° 48.247'
10,241 m,1 m,0:00:20,0.2 km/h,128.0° true,4/14/2022 3:15,N56° 44.970' E60° 48.242'
11,241 m,12 m,0:00:18,2.3 km/h,181.5° true,4/14/2022 3:15,N56° 44.969' E60° 48.243'
12,242 m,8 m,0:00:07,4.0 km/h,176.7° true,4/14/2022 3:16,N56° 44.963' E60° 48.242'
13,242 m,20 m,0:00:17,4.3 km/h,173.8° true,4/14/2022 3:16,N56° 44.959' E60° 48.243'
14,241 m,15 m,0:00:13,4.3 km/h,173.7° true,4/14/2022 3:16,N56° 44.948' E60° 48.245'
15,241 m,17 m,0:00:15,4.1 km/h,178.3° true,4/14/2022 3:16,N56° 44.940' E60° 48.247'
16,240 m,16 m,0:00:13,4.5 km/h,158.8° true,4/14/2022 3:16,N56° 44.931' E60° 48.247'
17,239 m,15 m,0:00:13,4.2 km/h,145.3° true,4/14/2022 3:17,N56° 44.923' E60° 48.253'
18,238 m,12 m,0:00:13,3.4 km/h,135.4° true,4/14/2022 3:17,N56° 44.916' E60° 48.261'
19,238 m,10 m,0:00:18,2.0 km/h,99.2° true,4/14/2022 3:17,N56° 44.911' E60° 48.270'
20,241 m,6 m,0:00:16,1.4 km/h,84.2° true,4/14/2022 3:17,N56° 44.910' E60° 48.280'
21,243 m,0 m,0:00:19,0.1 km/h,46.2° true,4/14/2022 3:18,N56° 44.911' E60° 48.286'
22,244 m,0 m,0:00:20,0.1 km/h,317.6° true,4/14/2022 3:18,N56° 44.911' E60° 48.286'
23,244 m,2 m,0:00:25,0.3 km/h,200.8° true,4/14/2022 3:18,N56° 44.911' E60° 48.286'
24,245 m,2 m,0:00:20,0.3 km/h,11.6° true,4/14/2022 3:19,N56° 44.910' E60° 48.285'
25,245 m,1 m,0:00:19,0.1 km/h,82.5° true,4/14/2022 3:19,N56° 44.911' E60° 48.286'
26,245 m,1 m,0:00:16,0.2 km/h,46.1° true,4/14/2022 3:19,N56° 44.911' E60° 48.286'
27,245 m,3 m,0:00:20,0.5 km/h,279.2° true,4/14/2022 3:20,N56° 44.911' E60° 48.287'
28,245 m,1 m,0:00:01,4.1 km/h,276.2° true,4/14/2022 3:20,N56° 44.911' E60° 48.284'
29,245 m,26 m,0:00:13,7 km/h,265.8° true,4/14/2022 3:20,N56° 44.911' E60° 48.283'
30,244 m,40 m,0:00:10,14 km/h,270.6° true,4/14/2022 3:20,N56° 44.910' E60° 48.258'
31,243 m,67 m,0:00:11,22 km/h,269.7° true,4/14/2022 3:20,N56° 44.911' E60° 48.219'
32,243 m,94 m,0:00:12,28 km/h,269.2° true,4/14/2022 3:21,N56° 44.911' E60° 48.153'
33,243 m,121 m,0:00:13,34 km/h,269.8° true,4/14/2022 3:21,N56° 44.910' E60° 48.061'
34,244 m,108 m,0:00:12,33 km/h,270.1° true,4/14/2022 3:21,N56° 44.910' E60° 47.942'
35,243 m,117 m,0:00:18,23 km/h,270.4° true,4/14/2022 3:21,N56° 44.910' E60° 47.835'
36,242 m,131 m,0:00:17,28 km/h,270.2° true,4/14/2022 3:21,N56° 44.910' E60° 47.720'
37,242 m,126 m,0:00:14,32 km/h,271.4° true,4/14/2022 3:22,N56° 44.910' E60° 47.591'
38,242 m,56 m,0:00:09,22 km/h,271.5° true,4/14/2022 3:22,N56° 44.912' E60° 47.467'
39,242 m,78 m,0:00:11,26 km/h,270.8° true,4/14/2022 3:22,N56° 44.913' E60° 47.413'
40,240 m,95 m,0:00:11,31 km/h,270.9° true,4/14/2022 3:22,N56° 44.913' E60° 47.336'
41,239 m,123 m,0:00:12,37 km/h,270.3° true,4/14/2022 3:22,N56° 44.914' E60° 47.243'
42,239 m,65 m,0:00:08,29 km/h,269.3° true,4/14/2022 3:23,N56° 44.914' E60° 47.122'
43,240 m,74 m,0:00:12,22 km/h,269.8° true,4/14/2022 3:23,N56° 44.914' E60° 47.058'
44,240 m,55 m,0:00:10,20 km/h,269.0° true,4/14/2022 3:23,N56° 44.914' E60° 46.986'
45,241 m,15 m,0:00:03,17 km/h,261.0° true,4/14/2022 3:23,N56° 44.913' E60° 46.931'
46,240 m,40 m,0:00:08,18 km/h,223.0° true,4/14/2022 3:23,N56° 44.912' E60° 46.917'
47,239 m,6 m,0:00:01,21 km/h,187.0° true,4/14/2022 3:23,N56° 44.896' E60° 46.890'
48,239 m,81 m,0:00:12,24 km/h,179.5° true,4/14/2022 3:23,N56° 44.893' E60° 46.890'
49,237 m,87 m,0:00:11,28 km/h,180.2° true,4/14/2022 3:24,N56° 44.850' E60° 46.891'
50,237 m,83 m,0:00:13,23 km/h,179.8° true,4/14/2022 3:24,N56° 44.803' E60° 46.890'
51,235 m,81 m,0:00:12,24 km/h,180.1° true,4/14/2022 3:24,N56° 44.758' E60° 46.890'
52,233 m,38 m,0:00:10,14 km/h,178.5° true,4/14/2022 3:24,N56° 44.714' E60° 46.890'
53,231 m,25 m,0:00:09,10 km/h,114.2° true,4/14/2022 3:24,N56° 44.694' E60° 46.891'
54,233 m,42 m,0:00:06,25 km/h,88.8° true,4/14/2022 3:25,N56° 44.689' E60° 46.914'
55,235 m,65 m,0:00:04,59 km/h,88.5° true,4/14/2022 3:25,N56° 44.689' E60° 46.955'
56,237 m,105 m,0:00:04,95 km/h,89.7° true,4/14/2022 3:25,N56° 44.690' E60° 47.019'
57,241 m,146 m,0:00:04,131 km/h,89.8° true,4/14/2022 3:25,N56° 44.690' E60° 47.123'
58,245 m,183 m,0:00:04,165 km/h,89.3° true,4/14/2022 3:25,N56° 44.690' E60° 47.266'
59,250 m,219 m,0:00:04,198 km/h,89.5° true,4/14/2022 3:25,N56° 44.692' E60° 47.446'
60,255 m,251 m,0:00:04,226 km/h,90.5° true,4/14/2022 3:25,N56° 44.693' E60° 47.662'
61,258 m,355 m,0:00:05,255 km/h,90.6° true,4/14/2022 3:25,N56° 44.691' E60° 47.908'
62,261 m,467 m,0:00:06,280 km/h,90.1° true,4/14/2022 3:25,N56° 44.690' E60° 48.257'
63,278 m,702 m,0:00:09,281 km/h,90.7° true,4/14/2022 3:25,N56° 44.689' E60° 48.716'
64,368 m,708 m,0:00:09,283 km/h,90.8° true,4/14/2022 3:25,N56° 44.685' E60° 49.405'
65,454 m,728 m,0:00:09,291 km/h,92.4° true,4/14/2022 3:25,N56° 44.679' E60° 50.101'
66,534 m,510 m,0:00:06,306 km/h,94.2° true,4/14/2022 3:26,N56° 44.663' E60° 50.816'
67,570 m,355 m,0:00:04,319 km/h,100.7° true,4/14/2022 3:26,N56° 44.643' E60° 51.317'
68,596 m,271 m,0:00:03,325 km/h,109.1° true,4/14/2022 3:26,N56° 44.607' E60° 51.659'
69,620 m,363 m,0:00:04,326 km/h,118.0° true,4/14/2022 3:26,N56° 44.559' E60° 51.911'
70,653 m,365 m,0:00:04,329 km/h,127.8° true,4/14/2022 3:26,N56° 44.467' E60° 52.225'
71,679 m,383 m,0:00:04,345 km/h,135.4° true,4/14/2022 3:26,N56° 44.347' E60° 52.509'
72,699 m,405 m,0:00:04,365 km/h,140.8° true,4/14/2022 3:26,N56° 44.200' E60° 52.773'
73,720 m,518 m,0:00:05,373 km/h,144.1° true,4/14/2022 3:26,N56° 44.030' E60° 53.025'
74,754 m,534 m,0:00:05,384 km/h,146.5° true,4/14/2022 3:26,N56° 43.804' E60° 53.323'
75,778 m,561 m,0:00:05,404 km/h,148.3° true,4/14/2022 3:26,N56° 43.564' E60° 53.613'
76,799 m,817 m,0:00:07,420 km/h,149.6° true,4/14/2022 3:26,N56° 43.307' E60° 53.903'
77,863 m,1.4 km,0:00:12,427 km/h,150.4° true,4/14/2022 3:26,N56° 42.927' E60° 54.309'
78,1085 m,1.5 km,0:00:13,419 km/h,150.7° true,4/14/2022 3:27,N56° 42.260' E60° 55.000'
79,1355 m,1.0 km,0:00:09,418 km/h,150.9° true,4/14/2022 3:27,N56° 41.549' E60° 55.727'
80,1523 m,946 m,0:00:08,426 km/h,150.8° true,4/14/2022 3:27,N56° 41.057' E60° 56.226'
81,1636 m,859 m,0:00:07,442 km/h,150.8° true,4/14/2022 3:27,N56° 40.611' E60° 56.678'
82,1710 m,891 m,0:00:07,458 km/h,150.8° true,4/14/2022 3:27,N56° 40.207' E60° 57.090'
83,1782 m,1.1 km,0:00:08,473 km/h,150.8° true,4/14/2022 3:27,N56° 39.788' E60° 57.517'
84,1878 m,1.2 km,0:00:09,485 km/h,150.6° true,4/14/2022 3:28,N56° 39.294' E60° 58.020'
85,1999 m,1.5 km,0:00:11,497 km/h,150.6° true,4/14/2022 3:28,N56° 38.724' E60° 58.603'
86,2157 m,1.6 km,0:00:11,508 km/h,150.5° true,4/14/2022 3:28,N56° 38.012' E60° 59.335'
87,2322 m,1.4 km,0:00:10,519 km/h,150.4° true,4/14/2022 3:28,N56° 37.283' E61° 00.085'
88,2464 m,1.8 km,0:00:12,527 km/h,150.4° true,4/14/2022 3:28,N56° 36.608' E61° 00.782'
89,2652 m,2.8 km,0:00:19,532 km/h,150.4° true,4/14/2022 3:28,N56° 35.784' E61° 01.633'
90,2990 m,2.4 km,0:00:16,535 km/h,150.3° true,4/14/2022 3:29,N56° 34.468' E61° 02.991'
91,3241 m,1.1 km,0:00:07,554 km/h,150.5° true,4/14/2022 3:29,N56° 33.356' E61° 04.141'
92,3286 m,956 m,0:00:06,574 km/h,150.6° true,4/14/2022 3:29,N56° 32.851' E61° 04.660'
93,3307 m,988 m,0:00:06,593 km/h,150.6° true,4/14/2022 3:29,N56° 32.402' E61° 05.119'
94,3328 m,1.4 km,0:00:08,610 km/h,150.6° true,4/14/2022 3:29,N56° 31.938' E61° 05.593'
95,3389 m,1.7 km,0:00:10,620 km/h,150.6° true,4/14/2022 3:29,N56° 31.302' E61° 06.242'
96,3521 m,2.3 km,0:00:13,623 km/h,150.5° true,4/14/2022 3:30,N56° 30.493' E61° 07.069'
97,3730 m,1.6 km,0:00:09,626 km/h,150.5° true,4/14/2022 3:30,N56° 29.436' E61° 08.151'
98,3880 m,1.6 km,0:00:09,629 km/h,150.5° true,4/14/2022 3:30,N56° 28.703' E61° 08.904'
99,4020 m,1.6 km,0:00:09,634 km/h,150.6° true,4/14/2022 3:30,N56° 27.965' E61° 09.659'
100,4144 m,2.0 km,0:00:11,642 km/h,150.5° true,4/14/2022 3:30,N56° 27.220' E61° 10.419'
101,4298 m,2.2 km,0:00:12,648 km/h,150.5° true,4/14/2022 3:30,N56° 26.300' E61° 11.361'
102,4471 m,1.8 km,0:00:10,656 km/h,150.6° true,4/14/2022 3:31,N56° 25.287' E61° 12.398'
103,4601 m,2.2 km,0:00:12,664 km/h,150.6° true,4/14/2022 3:31,N56° 24.432' E61° 13.270'
104,4760 m,1.9 km,0:00:10,672 km/h,150.6° true,4/14/2022 3:31,N56° 23.394' E61° 14.329'
105,4888 m,2.5 km,0:00:13,680 km/h,150.6° true,4/14/2022 3:31,N56° 22.518' E61° 15.221'
106,5064 m,2.5 km,0:00:13,685 km/h,150.6° true,4/14/2022 3:31,N56° 21.365' E61° 16.394'
107,5256 m,1.9 km,0:00:10,689 km/h,150.7° true,4/14/2022 3:32,N56° 20.203' E61° 17.576'
108,5394 m,2.3 km,0:00:12,696 km/h,150.6° true,4/14/2022 3:32,N56° 19.304' E61° 18.488'
109,5549 m,2.1 km,0:00:11,703 km/h,150.7° true,4/14/2022 3:32,N56° 18.215' E61° 19.592'
110,5683 m,2.4 km,0:00:12,713 km/h,150.7° true,4/14/2022 3:32,N56° 17.205' E61° 20.614'
111,5821 m,2.2 km,0:00:11,721 km/h,150.7° true,4/14/2022 3:32,N56° 16.088' E61° 21.742'
112,5948 m,2.2 km,0:00:11,727 km/h,150.6° true,4/14/2022 3:33,N56° 15.053' E61° 22.787'
113,6081 m,2.2 km,0:00:11,730 km/h,150.6° true,4/14/2022 3:33,N56° 14.009' E61° 23.844'
114,6229 m,2.4 km,0:00:12,733 km/h,150.7° true,4/14/2022 3:33,N56° 12.962' E61° 24.903'
115,6368 m,2.9 km,0:00:14,738 km/h,150.7° true,4/14/2022 3:33,N56° 11.813' E61° 26.062'
116,6561 m,1.4 km,0:00:07,727 km/h,150.5° true,4/14/2022 3:33,N56° 10.465' E61° 27.422'
117,6726 m,1.2 km,0:00:06,705 km/h,150.4° true,4/14/2022 3:34,N56° 09.801' E61° 28.095'
118,6917 m,1.3 km,0:00:07,685 km/h,150.4° true,4/14/2022 3:34,N56° 09.250' E61° 28.657'
119,7125 m,1.9 km,0:00:10,671 km/h,150.6° true,4/14/2022 3:34,N56° 08.626' E61° 29.293'
120,7323 m,2.1 km,0:00:11,671 km/h,150.8° true,4/14/2022 3:34,N56° 07.751' E61° 30.179'
121,7447 m,2.1 km,0:00:11,679 km/h,150.9° true,4/14/2022 3:34,N56° 06.786' E61° 31.147'
122,7552 m,2.3 km,0:00:12,687 km/h,150.8° true,4/14/2022 3:34,N56° 05.809' E61° 32.123'
123,7669 m,2.1 km,0:00:11,693 km/h,150.9° true,4/14/2022 3:34,N56° 04.732' E61° 33.200'
124,7770 m,1.9 km,0:00:10,699 km/h,150.9° true,4/14/2022 3:35,N56° 03.735' E61° 34.193'
