Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
69,223 m,2 m,0:00:13,0.6 km/h,82.0° true,4/28/2022 7:20,N39° 46.007' E64° 28.599'
70,223 m,6 m,0:00:25,0.8 km/h,331.4° true,4/28/2022 7:21,N39° 46.007' E64° 28.601'
71,223 m,4 m,0:00:25,0.6 km/h,170.0° true,4/28/2022 7:21,N39° 46.010' E64° 28.599'
72,223 m,4 m,0:00:58,0.2 km/h,350.0° true,4/28/2022 7:22,N39° 46.008' E64° 28.599'
73,224 m,2 m,0:00:24,0.3 km/h,158.3° true,4/28/2022 7:23,N39° 46.010' E64° 28.599'
74,224 m,2 m,0:00:20,0.4 km/h,208.4° true,4/28/2022 7:23,N39° 46.009' E64° 28.599'
75,223 m,2 m,0:00:20,0.3 km/h,18.4° true,4/28/2022 7:23,N39° 46.008' E64° 28.599'
76,223 m,3 m,0:00:22,0.5 km/h,121.6° true,4/28/2022 7:24,N39° 46.009' E64° 28.599'
77,223 m,3 m,0:00:24,0.4 km/h,263.4° true,4/28/2022 7:24,N39° 46.008' E64° 28.601'
78,223 m,1 m,0:00:18,0.3 km/h,157.2° true,4/28/2022 7:24,N39° 46.007' E64° 28.599'
79,223 m,2 m,0:00:16,0.5 km/h,19.0° true,4/28/2022 7:25,N39° 46.007' E64° 28.599'
80,223 m,3 m,0:00:22,0.5 km/h,286.2° true,4/28/2022 7:25,N39° 46.008' E64° 28.600'
81,222 m,8 m,0:00:20,1.5 km/h,6.9° true,4/28/2022 7:25,N39° 46.008' E64° 28.598'
82,222 m,2 m,0:00:01,6 km/h,10.4° true,4/28/2022 7:26,N39° 46.013' E64° 28.598'
83,222 m,24 m,0:00:12,7 km/h,13.4° true,4/28/2022 7:26,N39° 46.014' E64° 28.599'
84,221 m,27 m,0:00:11,9 km/h,59.5° true,4/28/2022 7:26,N39° 46.026' E64° 28.602'
85,221 m,27 m,0:00:11,9 km/h,135.1° true,4/28/2022 7:26,N39° 46.034' E64° 28.619'
86,222 m,33 m,0:00:10,12 km/h,165.8° true,4/28/2022 7:26,N39° 46.023' E64° 28.632'
87,223 m,26 m,0:00:09,10 km/h,120.8° true,4/28/2022 7:26,N39° 46.006' E64° 28.638'
88,223 m,39 m,0:00:12,12 km/h,126.1° true,4/28/2022 7:27,N39° 45.999' E64° 28.653'
89,223 m,32 m,0:00:09,13 km/h,183.6° true,4/28/2022 7:27,N39° 45.987' E64° 28.676'
90,224 m,68 m,0:00:12,20 km/h,190.8° true,4/28/2022 7:27,N39° 45.969' E64° 28.674'
91,224 m,91 m,0:00:12,27 km/h,190.0° true,4/28/2022 7:27,N39° 45.933' E64° 28.665'
92,226 m,120 m,0:00:13,33 km/h,190.9° true,4/28/2022 7:27,N39° 45.885' E64° 28.654'
93,230 m,64 m,0:00:08,29 km/h,188.3° true,4/28/2022 7:27,N39° 45.821' E64° 28.638'
94,230 m,40 m,0:00:09,16 km/h,188.6° true,4/28/2022 7:28,N39° 45.787' E64° 28.632'
95,230 m,35 m,0:00:10,12 km/h,160.8° true,4/28/2022 7:28,N39° 45.766' E64° 28.628'
96,230 m,34 m,0:00:09,14 km/h,113.2° true,4/28/2022 7:28,N39° 45.748' E64° 28.636'
97,229 m,38 m,0:00:08,17 km/h,105.2° true,4/28/2022 7:28,N39° 45.741' E64° 28.658'
98,227 m,50 m,0:00:10,18 km/h,101.0° true,4/28/2022 7:28,N39° 45.736' E64° 28.683'
99,225 m,41 m,0:00:11,13 km/h,82.8° true,4/28/2022 7:28,N39° 45.731' E64° 28.718'
100,229 m,20 m,0:00:10,7 km/h,42.1° true,4/28/2022 7:29,N39° 45.733' E64° 28.746'
101,228 m,23 m,0:00:11,8 km/h,13.3° true,4/28/2022 7:29,N39° 45.742' E64° 28.756'
