Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position,Car
41,366 m,0 m,0:00:34,0.0 km/h,355.3° true,12/4/2022 3:04,N51° 08.321' E71° 29.472',
42,365 m,2 m,0:00:37,0.1 km/h,273.9° true,12/4/2022 3:05,N51° 08.322' E71° 29.471',
43,365 m,2 m,0:00:30,0.2 km/h,247.0° true,12/4/2022 3:05,N51° 08.322' E71° 29.470',
44,367 m,4 m,0:00:40,0.4 km/h,283.3° true,12/4/2022 3:06,N51° 08.321' E71° 29.469',
45,369 m,1 m,0:00:33,0.1 km/h,257.9° true,12/4/2022 3:06,N51° 08.322' E71° 29.465',
46,372 m,0 m,0:00:49,0.0 km/h,47.5° true,12/4/2022 3:07,N51° 08.322' E71° 29.464',
47,373 m,1 m,0:00:42,0.1 km/h,117.8° true,12/4/2022 3:08,N51° 08.322' E71° 29.465',
48,375 m,2 m,0:00:46,0.1 km/h,108.2° true,12/4/2022 3:09,N51° 08.322' E71° 29.465',
49,376 m,1 m,0:00:45,0.1 km/h,347.5° true,12/4/2022 3:09,N51° 08.321' E71° 29.467',
50,377 m,5 m,0:00:35,0.5 km/h,241.8° true,12/4/2022 3:10,N51° 08.322' E71° 29.467',
51,378 m,3 m,0:00:17,0.7 km/h,254.0° true,12/4/2022 3:11,N51° 08.320' E71° 29.463',
52,377 m,1 m,0:00:18,0.3 km/h,219.6° true,12/4/2022 3:11,N51° 08.320' E71° 29.460',
53,377 m,2 m,0:00:22,0.3 km/h,163.6° true,12/4/2022 3:11,N51° 08.319' E71° 29.459',
54,375 m,1 m,0:00:22,0.1 km/h,292.9° true,12/4/2022 3:12,N51° 08.318' E71° 29.460',
55,374 m,2 m,0:00:21,0.4 km/h,206.7° true,12/4/2022 3:12,N51° 08.319' E71° 29.459',
56,374 m,1 m,0:00:22,0.1 km/h,308.0° true,12/4/2022 3:12,N51° 08.318' E71° 29.458',
57,373 m,3 m,0:00:23,0.4 km/h,274.2° true,12/4/2022 3:13,N51° 08.318' E71° 29.458',
58,372 m,17 m,0:00:10,6 km/h,280.0° true,12/4/2022 3:13,N51° 08.318' E71° 29.455',
59,372 m,4 m,0:00:01,13 km/h,339.2° true,12/4/2022 3:13,N51° 08.320' E71° 29.441',
