Index,Elevation.1,Elevation.2,Leg distance.1,Leg distance.2,Leg time,Leg speed,Leg course.1,Leg course.2,Time,Position
1,228,m,2,m,0:00:45,0.1 km/h,326.7,ИСТИНА,12/10/2022 16:13,N56° 47.917' E60° 37.173'
3,160,m,19,m,0:05:38,0.2 km/h,118.2,ИСТИНА,12/25/2022 5:45,N55° 58.658' E37° 24.751'
4,196,m,1,m,0:10:34,0.0 km/h,298.1,ИСТИНА,12/25/2022 5:51,N55° 58.654' E37° 24.767'
5,197,m,23,m,0:03:17,0.4 km/h,194.5,ИСТИНА,12/25/2022 6:02,N55° 58.654' E37° 24.765'
6,197,m,154,m,0:23:21,0.4 km/h,117.2,ИСТИНА,12/25/2022 6:05,N55° 58.642' E37° 24.760'
7,196,m,48,m,0:00:21,8 km/h,107.7,ИСТИНА,12/25/2022 6:28,N55° 58.604' E37° 24.892'
8,196,m,25,m,0:00:09,10 km/h,142.6,ИСТИНА,12/25/2022 6:29,N55° 58.596' E37° 24.936'
9,196,m,68,m,0:00:27,9 km/h,131.3,ИСТИНА,12/25/2022 6:29,N55° 58.585' E37° 24.950'
10,195,m,87,m,0:00:22,14 km/h,89.1,ИСТИНА,12/25/2022 6:29,N55° 58.561' E37° 25.000'
11,194,m,59,m,0:00:10,21 km/h,78.6,ИСТИНА,12/25/2022 6:30,N55° 58.562' E37° 25.084'
12,194,m,162,m,0:00:18,32 km/h,63.9,ИСТИНА,12/25/2022 6:30,N55° 58.568' E37° 25.139'
13,193,m,155,m,0:00:16,35 km/h,75,ИСТИНА,12/25/2022 6:30,N55° 58.607' E37° 25.280'
14,193,m,198,m,0:00:17,42 km/h,77.5,ИСТИНА,12/25/2022 6:30,N55° 58.628' E37° 25.424'
15,192,m,260,m,0:00:22,43 km/h,73.8,ИСТИНА,12/25/2022 6:31,N55° 58.651' E37° 25.610'
16,191,m,224,m,0:00:20,40 km/h,76,ИСТИНА,12/25/2022 6:31,N55° 58.690' E37° 25.851'
17,191,m,173,m,0:00:17,37 km/h,73.3,ИСТИНА,12/25/2022 6:31,N55° 58.720' E37° 26.060'
18,191,m,127,m,0:00:16,29 km/h,74.2,ИСТИНА,12/25/2022 6:32,N55° 58.746' E37° 26.220'
19,191,m,61,m,0:00:13,17 km/h,77.1,ИСТИНА,12/25/2022 6:32,N55° 58.765' E37° 26.337'
20,192,m,35,m,0:00:12,11 km/h,137.9,ИСТИНА,12/25/2022 6:32,N55° 58.772' E37° 26.394'
21,193,m,65,m,0:00:18,13 km/h,165,ИСТИНА,12/25/2022 6:32,N55° 58.758' E37° 26.417'
22,192,m,62,m,0:00:15,15 km/h,177.4,ИСТИНА,12/25/2022 6:32,N55° 58.724' E37° 26.433'
23,192,m,65,m,0:00:12,20 km/h,214.8,ИСТИНА,12/25/2022 6:33,N55° 58.691' E37° 26.436'
24,190,m,22,m,0:00:04,20 km/h,250.8,ИСТИНА,12/25/2022 6:33,N55° 58.662' E37° 26.400'
25,190,m,101,m,0:00:13,28 km/h,256.8,ИСТИНА,12/25/2022 6:33,N55° 58.658' E37° 26.380'
26,191,m,125,m,0:00:08,56 km/h,257.5,ИСТИНА,12/25/2022 6:33,N55° 58.646' E37° 26.285'
27,191,m,182,m,0:00:06,109 km/h,256.4,ИСТИНА,12/25/2022 6:33,N55° 58.631' E37° 26.168'
28,190,m,237,m,0:00:05,171 km/h,255.1,ИСТИНА,12/25/2022 6:33,N55° 58.608' E37° 25.997'
29,189,m,335,m,0:00:06,201 km/h,255.2,ИСТИНА,12/25/2022 6:34,N55° 58.575' E37° 25.776'
30,188,m,381,m,0:00:05,275 km/h,252.5,ИСТИНА,12/25/2022 6:34,N55° 58.529' E37° 25.464'
31,189,m,353,m,0:00:04,318 km/h,255.4,ИСТИНА,12/25/2022 6:34,N55° 58.467' E37° 25.114'
32,191,m,549,m,0:00:06,329 km/h,255.5,ИСТИНА,12/25/2022 6:34,N55° 58.419' E37° 24.784'
33,191,m,605,m,0:00:06,363 km/h,254.1,ИСТИНА,12/25/2022 6:34,N55° 58.345' E37° 24.273'
34,202,m,710,m,0:00:07,365 km/h,250.9,ИСТИНА,12/25/2022 6:34,N55° 58.256' E37° 23.712'
35,258,m,1,km,0:00:10,370 km/h,252.1,ИСТИНА,12/25/2022 6:34,N55° 58.131' E37° 23.066'
36,472,m,1.2,km,0:00:12,364 km/h,249.9,ИСТИНА,12/25/2022 6:34,N55° 57.961' E37° 22.124'
37,677,m,1.3,km,0:00:13,367 km/h,251.7,ИСТИНА,12/25/2022 6:34,N55° 57.735' E37° 21.026'
38,818,m,1.3,km,0:00:13,369 km/h,253.4,ИСТИНА,12/25/2022 6:35,N55° 57.511' E37° 19.813'
39,914,m,1,km,0:00:10,372 km/h,254.6,ИСТИНА,12/25/2022 6:35,N55° 57.306' E37° 18.584'
40,1003,m,1.5,km,0:00:14,378 km/h,254.6,ИСТИНА,12/25/2022 6:35,N55° 57.158' E37° 17.624'
41,1119,m,1.4,km,0:00:13,388 km/h,254.4,ИСТИНА,12/25/2022 6:35,N55° 56.948' E37° 16.262'
42,1211,m,1.1,km,0:00:10,410 km/h,255.7,ИСТИНА,12/25/2022 6:36,N55° 56.745' E37° 14.964'
43,1274,m,1.4,km,0:00:12,421 km/h,255.5,ИСТИНА,12/25/2022 6:36,N55° 56.594' E37° 13.903'
44,1384,m,1.1,km,0:00:09,437 km/h,256.2,ИСТИНА,12/25/2022 6:36,N55° 56.404' E37° 12.595'
45,1433,m,1.3,km,0:00:10,453 km/h,254.9,ИСТИНА,12/25/2022 6:36,N55° 56.264' E37° 11.573'
46,1485,m,1.4,km,0:00:11,467 km/h,255.1,ИСТИНА,12/25/2022 6:36,N55° 56.087' E37° 10.403'
47,1543,m,1.1,km,0:00:08,485 km/h,256.7,ИСТИНА,12/25/2022 6:36,N55° 55.889' E37° 09.075'
