Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
4069,57 m,3 m,0:00:33,0.3 km/h,237.3° true,1/10/2023 0:31,N23° 02.287' W81° 26.087'
4070,59 m,3 m,0:00:15,0.7 km/h,32.7° true,1/10/2023 0:32,N23° 02.286' W81° 26.088'
4071,60 m,4 m,0:00:17,0.8 km/h,62.2° true,1/10/2023 0:32,N23° 02.287' W81° 26.088'
4072,62 m,3 m,0:00:16,0.6 km/h,57.2° true,1/10/2023 0:32,N23° 02.288' W81° 26.086'
4073,62 m,2 m,0:00:13,0.5 km/h,58.2° true,1/10/2023 0:32,N23° 02.289' W81° 26.084'
4074,63 m,5 m,0:00:46,0.4 km/h,250.2° true,1/10/2023 0:33,N23° 02.289' W81° 26.084'
4075,65 m,5 m,0:01:23,0.2 km/h,202.2° true,1/10/2023 0:33,N23° 02.289' W81° 26.086'
4076,63 m,6 m,0:00:25,0.9 km/h,44.6° true,1/10/2023 0:35,N23° 02.286' W81° 26.087'
4077,62 m,2 m,0:00:25,0.3 km/h,31.9° true,1/10/2023 0:35,N23° 02.289' W81° 26.085'
4078,60 m,2 m,0:00:12,0.6 km/h,307.1° true,1/10/2023 0:36,N23° 02.290' W81° 26.084'
4079,59 m,4 m,0:00:06,2.2 km/h,336.4° true,1/10/2023 0:36,N23° 02.290' W81° 26.085'
4080,58 m,5 m,0:00:04,5 km/h,275.3° true,1/10/2023 0:36,N23° 02.292' W81° 26.086'
4081,58 m,19 m,0:00:09,7 km/h,253.9° true,1/10/2023 0:36,N23° 02.292' W81° 26.089'
4082,57 m,34 m,0:00:12,10 km/h,234.0° true,1/10/2023 0:36,N23° 02.290' W81° 26.099'
4083,56 m,61 m,0:00:13,17 km/h,231.0° true,1/10/2023 0:36,N23° 02.279' W81° 26.115'
4084,55 m,70 m,0:00:14,18 km/h,225.7° true,1/10/2023 0:37,N23° 02.258' W81° 26.143'
4085,54 m,42 m,0:00:10,15 km/h,199.7° true,1/10/2023 0:37,N23° 02.232' W81° 26.172'
4086,56 m,53 m,0:00:13,15 km/h,173.8° true,1/10/2023 0:37,N23° 02.211' W81° 26.181'
4087,55 m,55 m,0:00:11,18 km/h,176.9° true,1/10/2023 0:37,N23° 02.182' W81° 26.177'
4088,55 m,43 m,0:00:10,16 km/h,236.2° true,1/10/2023 0:37,N23° 02.153' W81° 26.175'
4089,55 m,73 m,0:00:14,19 km/h,241.0° true,1/10/2023 0:38,N23° 02.140' W81° 26.196'
4090,55 m,62 m,0:00:11,20 km/h,229.4° true,1/10/2023 0:38,N23° 02.121' W81° 26.234'
4091,57 m,95 m,0:00:13,26 km/h,234.4° true,1/10/2023 0:38,N23° 02.099' W81° 26.261'
4092,57 m,94 m,0:00:14,24 km/h,235.1° true,1/10/2023 0:38,N23° 02.069' W81° 26.306'
4093,59 m,97 m,0:00:15,23 km/h,236.3° true,1/10/2023 0:38,N23° 02.040' W81° 26.351'
4094,60 m,95 m,0:00:14,24 km/h,234.6° true,1/10/2023 0:39,N23° 02.011' W81° 26.398'
4095,61 m,95 m,0:00:12,28 km/h,235.1° true,1/10/2023 0:39,N23° 01.982' W81° 26.444'
4096,63 m,121 m,0:00:14,31 km/h,235.1° true,1/10/2023 0:39,N23° 01.953' W81° 26.489'
4097,66 m,152 m,0:00:16,34 km/h,235.6° true,1/10/2023 0:39,N23° 01.915' W81° 26.548'
4098,69 m,148 m,0:00:16,33 km/h,234.4° true,1/10/2023 0:40,N23° 01.869' W81° 26.621'
4099,72 m,108 m,0:00:13,30 km/h,233.6° true,1/10/2023 0:40,N23° 01.822' W81° 26.692'
4100,74 m,79 m,0:00:10,29 km/h,236.1° true,1/10/2023 0:40,N23° 01.788' W81° 26.742'
4101,74 m,96 m,0:00:13,27 km/h,235.5° true,1/10/2023 0:40,N23° 01.764' W81° 26.781'
4102,74 m,89 m,0:00:12,27 km/h,234.9° true,1/10/2023 0:40,N23° 01.735' W81° 26.827'
4103,76 m,93 m,0:00:12,28 km/h,235.0° true,1/10/2023 0:41,N23° 01.707' W81° 26.870'
4104,77 m,83 m,0:00:11,27 km/h,234.8° true,1/10/2023 0:41,N23° 01.678' W81° 26.915'
4105,80 m,56 m,0:00:10,20 km/h,236.1° true,1/10/2023 0:41,N23° 01.653' W81° 26.954'
4106,78 m,5 m,0:00:01,18 km/h,230.7° true,1/10/2023 0:41,N23° 01.636' W81° 26.981'
4107,78 m,30 m,0:00:06,18 km/h,210.3° true,1/10/2023 0:41,N23° 01.634' W81° 26.984'
4108,78 m,36 m,0:00:07,19 km/h,186.7° true,1/10/2023 0:41,N23° 01.620' W81° 26.993'
4109,79 m,46 m,0:00:11,15 km/h,162.4° true,1/10/2023 0:41,N23° 01.601' W81° 26.995'
4110,80 m,52 m,0:00:13,15 km/h,141.7° true,1/10/2023 0:42,N23° 01.577' W81° 26.987'
4111,82 m,47 m,0:00:13,13 km/h,120.0° true,1/10/2023 0:42,N23° 01.555' W81° 26.968'
4112,82 m,25 m,0:00:07,13 km/h,36.3° true,1/10/2023 0:42,N23° 01.542' W81° 26.944'
4113,81 m,41 m,0:00:11,14 km/h,46.3° true,1/10/2023 0:42,N23° 01.553' W81° 26.935'
4114,80 m,52 m,0:00:11,17 km/h,51.3° true,1/10/2023 0:42,N23° 01.569' W81° 26.918'
4115,77 m,70 m,0:00:10,25 km/h,58.8° true,1/10/2023 0:43,N23° 01.586' W81° 26.894'
4116,75 m,82 m,0:00:06,49 km/h,58.6° true,1/10/2023 0:43,N23° 01.606' W81° 26.859'
4117,72 m,103 m,0:00:04,93 km/h,56.1° true,1/10/2023 0:43,N23° 01.629' W81° 26.818'
4118,70 m,141 m,0:00:04,127 km/h,55.9° true,1/10/2023 0:43,N23° 01.660' W81° 26.768'
4119,67 m,187 m,0:00:04,168 km/h,55.5° true,1/10/2023 0:43,N23° 01.703' W81° 26.700'
4120,65 m,226 m,0:00:04,203 km/h,55.8° true,1/10/2023 0:43,N23° 01.760' W81° 26.609'
4121,62 m,262 m,0:00:04,236 km/h,55.3° true,1/10/2023 0:43,N23° 01.828' W81° 26.500'
4122,63 m,363 m,0:00:05,262 km/h,55.4° true,1/10/2023 0:43,N23° 01.908' W81° 26.374'
4123,67 m,332 m,0:00:04,298 km/h,56.0° true,1/10/2023 0:43,N23° 02.020' W81° 26.198'
4124,63 m,442 m,0:00:05,318 km/h,55.9° true,1/10/2023 0:43,N23° 02.120' W81° 26.037'
4125,60 m,553 m,0:00:06,332 km/h,55.1° true,1/10/2023 0:43,N23° 02.253' W81° 25.823'
4126,103 m,636 m,0:00:07,327 km/h,54.1° true,1/10/2023 0:43,N23° 02.424' W81° 25.558'
