Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
1,17 m,3 m,0:00:22,0.5 km/h,332.3° true,2/19/2023 13:52,N43° 26.592' E39° 55.885'
2,17 m,1 m,0:00:31,0.1 km/h,220.9° true,2/19/2023 13:52,N43° 26.593' E39° 55.884'
3,18 m,0 m,0:00:32,0.0 km/h,291.5° true,2/19/2023 13:53,N43° 26.593' E39° 55.884'
4,18 m,3 m,0:00:21,0.5 km/h,327.8° true,2/19/2023 13:53,N43° 26.593' E39° 55.884'
5,17 m,1 m,0:00:25,0.1 km/h,321.1° true,2/19/2023 13:54,N43° 26.594' E39° 55.882'
6,17 m,2 m,0:00:21,0.4 km/h,303.8° true,2/19/2023 13:54,N43° 26.594' E39° 55.882'
7,17 m,1 m,0:00:22,0.1 km/h,143.4° true,2/19/2023 13:54,N43° 26.595' E39° 55.881'
8,17 m,1 m,0:00:23,0.2 km/h,131.5° true,2/19/2023 13:55,N43° 26.595' E39° 55.881'
9,17 m,1 m,0:00:37,0.1 km/h,188.3° true,2/19/2023 13:55,N43° 26.594' E39° 55.882'
10,17 m,1 m,0:00:37,0.1 km/h,206.2° true,2/19/2023 13:56,N43° 26.594' E39° 55.882'
11,16 m,1 m,0:00:34,0.1 km/h,188.4° true,2/19/2023 13:56,N43° 26.593' E39° 55.881'
12,16 m,1 m,0:00:26,0.1 km/h,48.8° true,2/19/2023 13:57,N43° 26.593' E39° 55.881'
13,16 m,4 m,0:00:24,0.6 km/h,264.0° true,2/19/2023 13:57,N43° 26.593' E39° 55.882'
14,16 m,0 m,0:00:24,0.1 km/h,154.7° true,2/19/2023 13:58,N43° 26.593' E39° 55.879'
15,15 m,3 m,0:00:29,0.4 km/h,106.9° true,2/19/2023 13:58,N43° 26.593' E39° 55.879'
16,15 m,3 m,0:00:28,0.3 km/h,49.8° true,2/19/2023 13:59,N43° 26.592' E39° 55.881'
17,16 m,1 m,0:00:24,0.2 km/h,206.1° true,2/19/2023 13:59,N43° 26.593' E39° 55.883'
18,16 m,2 m,0:00:24,0.2 km/h,329.7° true,2/19/2023 13:59,N43° 26.593' E39° 55.882'
19,17 m,0 m,0:00:25,0.1 km/h,228.8° true,2/19/2023 14:00,N43° 26.593' E39° 55.882'
20,17 m,4 m,0:00:26,0.6 km/h,110.9° true,2/19/2023 14:00,N43° 26.593' E39° 55.882'
21,18 m,5 m,0:00:30,0.6 km/h,153.1° true,2/19/2023 14:01,N43° 26.593' E39° 55.884'
22,18 m,6 m,0:00:05,4.1 km/h,197.4° true,2/19/2023 14:01,N43° 26.590' E39° 55.886'
23,18 m,31 m,0:00:23,5 km/h,192.7° true,2/19/2023 14:01,N43° 26.587' E39° 55.885'
24,17 m,15 m,0:00:11,5 km/h,195.7° true,2/19/2023 14:02,N43° 26.571' E39° 55.880'
25,17 m,11 m,0:00:09,4.4 km/h,211.1° true,2/19/2023 14:02,N43° 26.563' E39° 55.877'
26,17 m,14 m,0:00:12,4.3 km/h,221.4° true,2/19/2023 14:02,N43° 26.558' E39° 55.873'
27,17 m,9 m,0:00:17,1.9 km/h,220.2° true,2/19/2023 14:02,N43° 26.552' E39° 55.866'
28,16 m,2 m,0:00:22,0.3 km/h,314.1° true,2/19/2023 14:02,N43° 26.549' E39° 55.861'
29,16 m,1 m,0:00:27,0.2 km/h,86.3° true,2/19/2023 14:03,N43° 26.549' E39° 55.860'
30,16 m,0 m,0:00:28,0.0 km/h,56.0° true,2/19/2023 14:03,N43° 26.549' E39° 55.861'
31,17 m,3 m,0:00:21,0.5 km/h,64.4° true,2/19/2023 14:04,N43° 26.549' E39° 55.862'
32,18 m,7 m,0:00:07,3.4 km/h,70.8° true,2/19/2023 14:04,N43° 26.550' E39° 55.864'
33,18 m,25 m,0:00:13,7 km/h,67.4° true,2/19/2023 14:04,N43° 26.551' E39° 55.868'
34,18 m,45 m,0:00:15,11 km/h,65.3° true,2/19/2023 14:04,N43° 26.556' E39° 55.885'
35,19 m,56 m,0:00:14,14 km/h,64.5° true,2/19/2023 14:05,N43° 26.567' E39° 55.916'
36,22 m,58 m,0:00:12,17 km/h,65.0° true,2/19/2023 14:05,N43° 26.580' E39° 55.953'
37,24 m,77 m,0:00:14,20 km/h,64.4° true,2/19/2023 14:05,N43° 26.593' E39° 55.992'
38,26 m,70 m,0:00:12,21 km/h,64.6° true,2/19/2023 14:05,N43° 26.611' E39° 56.043'
39,27 m,78 m,0:00:13,22 km/h,63.7° true,2/19/2023 14:06,N43° 26.627' E39° 56.091'
40,29 m,71 m,0:00:12,21 km/h,64.8° true,2/19/2023 14:06,N43° 26.646' E39° 56.143'
41,28 m,82 m,0:00:13,23 km/h,64.1° true,2/19/2023 14:06,N43° 26.662' E39° 56.190'
42,30 m,69 m,0:00:11,22 km/h,65.0° true,2/19/2023 14:06,N43° 26.681' E39° 56.245'
43,29 m,89 m,0:00:13,25 km/h,66.0° true,2/19/2023 14:06,N43° 26.697' E39° 56.291'
44,28 m,114 m,0:00:15,27 km/h,65.1° true,2/19/2023 14:07,N43° 26.716' E39° 56.352'
45,25 m,117 m,0:00:14,30 km/h,64.2° true,2/19/2023 14:07,N43° 26.742' E39° 56.429'
46,28 m,117 m,0:00:13,32 km/h,64.8° true,2/19/2023 14:07,N43° 26.770' E39° 56.507'
47,32 m,125 m,0:00:13,34 km/h,65.2° true,2/19/2023 14:07,N43° 26.797' E39° 56.586'
48,34 m,123 m,0:00:13,34 km/h,64.5° true,2/19/2023 14:08,N43° 26.825' E39° 56.670'
49,34 m,84 m,0:00:11,27 km/h,65.6° true,2/19/2023 14:08,N43° 26.853' E39° 56.752'
50,37 m,57 m,0:00:11,19 km/h,64.5° true,2/19/2023 14:08,N43° 26.872' E39° 56.809'
51,41 m,10 m,0:00:02,17 km/h,56.2° true,2/19/2023 14:08,N43° 26.885' E39° 56.847'
52,41 m,26 m,0:00:06,16 km/h,31.8° true,2/19/2023 14:08,N43° 26.888' E39° 56.852'
53,43 m,39 m,0:00:10,14 km/h,2.1° true,2/19/2023 14:08,N43° 26.900' E39° 56.863'
54,37 m,33 m,0:00:09,13 km/h,48.3° true,2/19/2023 14:08,N43° 26.921' E39° 56.864'
55,38 m,58 m,0:00:12,17 km/h,64.6° true,2/19/2023 14:09,N43° 26.933' E39° 56.882'
56,38 m,73 m,0:00:13,20 km/h,66.0° true,2/19/2023 14:09,N43° 26.946' E39° 56.921'
57,36 m,85 m,0:00:13,23 km/h,61.4° true,2/19/2023 14:09,N43° 26.962' E39° 56.970'
58,36 m,74 m,0:00:10,27 km/h,53.9° true,2/19/2023 14:09,N43° 26.984' E39° 57.026'
59,39 m,113 m,0:00:14,29 km/h,65.0° true,2/19/2023 14:09,N43° 27.007' E39° 57.070'
60,43 m,82 m,0:00:11,27 km/h,65.2° true,2/19/2023 14:10,N43° 27.033' E39° 57.146'
61,45 m,88 m,0:00:13,24 km/h,61.6° true,2/19/2023 14:10,N43° 27.052' E39° 57.202'
62,46 m,90 m,0:00:15,22 km/h,54.0° true,2/19/2023 14:10,N43° 27.074' E39° 57.259'
63,47 m,54 m,0:00:10,19 km/h,53.8° true,2/19/2023 14:10,N43° 27.103' E39° 57.313'
64,47 m,65 m,0:00:13,18 km/h,57.8° true,2/19/2023 14:10,N43° 27.120' E39° 57.345'
65,45 m,63 m,0:00:10,23 km/h,58.4° true,2/19/2023 14:11,N43° 27.139' E39° 57.386'
66,43 m,89 m,0:00:14,23 km/h,59.7° true,2/19/2023 14:11,N43° 27.156' E39° 57.425'
67,40 m,49 m,0:00:10,18 km/h,90.1° true,2/19/2023 14:11,N43° 27.180' E39° 57.482'
68,40 m,59 m,0:00:12,18 km/h,115.3° true,2/19/2023 14:11,N43° 27.180' E39° 57.519'
69,37 m,5 m,0:00:01,18 km/h,102.5° true,2/19/2023 14:11,N43° 27.167' E39° 57.558'
70,37 m,21 m,0:00:04,19 km/h,88.5° true,2/19/2023 14:11,N43° 27.166' E39° 57.562'
71,35 m,39 m,0:00:07,20 km/h,53.6° true,2/19/2023 14:11,N43° 27.166' E39° 57.577'
72,33 m,29 m,0:00:05,21 km/h,28.9° true,2/19/2023 14:12,N43° 27.179' E39° 57.600'
73,32 m,41 m,0:00:08,19 km/h,0.0° true,2/19/2023 14:12,N43° 27.192' E39° 57.611'
74,33 m,25 m,0:00:06,15 km/h,316.8° true,2/19/2023 14:12,N43° 27.215' E39° 57.611'
