Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
21,231 m,1 m,0:00:24,0.1 km/h,132.1° true,2/19/2023 7:14,N56° 44.953' E60° 47.900'
22,231 m,1 m,0:00:22,0.2 km/h,268.8° true,2/19/2023 7:15,N56° 44.952' E60° 47.901'
23,230 m,2 m,0:00:24,0.2 km/h,259.6° true,2/19/2023 7:15,N56° 44.952' E60° 47.900'
24,229 m,2 m,0:00:21,0.3 km/h,310.9° true,2/19/2023 7:15,N56° 44.952' E60° 47.898'
25,227 m,4 m,0:00:08,1.7 km/h,179.3° true,2/19/2023 7:16,N56° 44.953' E60° 47.897'
26,227 m,25 m,0:00:15,6 km/h,183.7° true,2/19/2023 7:16,N56° 44.951' E60° 47.897'
27,225 m,20 m,0:00:13,6 km/h,186.8° true,2/19/2023 7:16,N56° 44.937' E60° 47.896'
28,225 m,24 m,0:00:15,6 km/h,205.6° true,2/19/2023 7:16,N56° 44.927' E60° 47.893'
29,224 m,14 m,0:00:12,4.1 km/h,237.0° true,2/19/2023 7:17,N56° 44.915' E60° 47.883'
30,225 m,8 m,0:00:09,3.3 km/h,243.9° true,2/19/2023 7:17,N56° 44.911' E60° 47.872'
31,226 m,7 m,0:00:07,3.7 km/h,259.6° true,2/19/2023 7:17,N56° 44.909' E60° 47.864'
32,226 m,10 m,0:00:17,2.2 km/h,286.1° true,2/19/2023 7:17,N56° 44.908' E60° 47.858'
33,227 m,3 m,0:00:24,0.4 km/h,323.7° true,2/19/2023 7:17,N56° 44.910' E60° 47.848'
34,228 m,1 m,0:00:21,0.1 km/h,108.1° true,2/19/2023 7:18,N56° 44.911' E60° 47.846'
35,228 m,1 m,0:00:22,0.1 km/h,153.0° true,2/19/2023 7:18,N56° 44.911' E60° 47.847'
36,229 m,1 m,0:00:20,0.1 km/h,178.6° true,2/19/2023 7:18,N56° 44.911' E60° 47.847'
37,229 m,0 m,0:00:20,0.0 km/h,218.8° true,2/19/2023 7:19,N56° 44.910' E60° 47.847'
38,230 m,2 m,0:00:26,0.2 km/h,49.4° true,2/19/2023 7:19,N56° 44.910' E60° 47.847'
39,230 m,3 m,0:00:22,0.5 km/h,38.4° true,2/19/2023 7:20,N56° 44.911' E60° 47.848'
40,230 m,10 m,0:00:16,2.3 km/h,95.7° true,2/19/2023 7:20,N56° 44.912' E60° 47.850'
41,230 m,29 m,0:00:12,9 km/h,90.2° true,2/19/2023 7:20,N56° 44.911' E60° 47.860'
42,230 m,58 m,0:00:12,17 km/h,91.1° true,2/19/2023 7:20,N56° 44.911' E60° 47.889'
43,229 m,85 m,0:00:13,24 km/h,90.5° true,2/19/2023 7:21,N56° 44.911' E60° 47.946'
44,230 m,92 m,0:00:13,25 km/h,90.3° true,2/19/2023 7:21,N56° 44.910' E60° 48.030'
45,230 m,98 m,0:00:13,27 km/h,89.7° true,2/19/2023 7:21,N56° 44.910' E60° 48.120'
46,229 m,98 m,0:00:13,27 km/h,90.7° true,2/19/2023 7:21,N56° 44.910' E60° 48.217'
47,231 m,99 m,0:00:13,27 km/h,90.2° true,2/19/2023 7:21,N56° 44.910' E60° 48.313'
