Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
7,869 m,4 m,0:00:20,0.8 km/h,58.8° true,2/23/2023 17:39,N40° 09.049' E44° 24.084'
8,869 m,3 m,0:00:22,0.5 km/h,251.8° true,2/23/2023 17:40,N40° 09.051' E44° 24.086'
9,868 m,0 m,0:00:22,0.0 km/h,201.8° true,2/23/2023 17:40,N40° 09.050' E44° 24.084'
10,867 m,3 m,0:00:22,0.4 km/h,115.5° true,2/23/2023 17:41,N40° 09.050' E44° 24.084'
11,865 m,1 m,0:00:26,0.1 km/h,247.6° true,2/23/2023 17:41,N40° 09.049' E44° 24.086'
12,863 m,3 m,0:00:23,0.4 km/h,16.7° true,2/23/2023 17:41,N40° 09.049' E44° 24.085'
13,862 m,2 m,0:00:21,0.3 km/h,66.6° true,2/23/2023 17:42,N40° 09.051' E44° 24.086'
14,862 m,3 m,0:00:22,0.4 km/h,213.8° true,2/23/2023 17:42,N40° 09.051' E44° 24.087'
15,861 m,3 m,0:00:26,0.4 km/h,123.0° true,2/23/2023 17:42,N40° 09.050' E44° 24.086'
16,860 m,3 m,0:00:21,0.5 km/h,34.9° true,2/23/2023 17:43,N40° 09.049' E44° 24.088'
17,860 m,3 m,0:00:25,0.4 km/h,273.6° true,2/23/2023 17:43,N40° 09.050' E44° 24.089'
18,859 m,2 m,0:00:21,0.3 km/h,175.7° true,2/23/2023 17:44,N40° 09.050' E44° 24.087'
19,859 m,0 m,0:00:24,0.1 km/h,210.3° true,2/23/2023 17:44,N40° 09.050' E44° 24.087'
20,858 m,2 m,0:00:22,0.4 km/h,118.8° true,2/23/2023 17:44,N40° 09.049' E44° 24.087'
21,857 m,1 m,0:00:23,0.2 km/h,110.9° true,2/23/2023 17:45,N40° 09.049' E44° 24.089'
22,856 m,2 m,0:00:22,0.4 km/h,343.4° true,2/23/2023 17:45,N40° 09.049' E44° 24.089'
23,856 m,2 m,0:00:25,0.2 km/h,201.5° true,2/23/2023 17:45,N40° 09.050' E44° 24.089'
24,854 m,1 m,0:00:23,0.2 km/h,221.4° true,2/23/2023 17:46,N40° 09.049' E44° 24.089'
25,854 m,6 m,0:00:13,1.7 km/h,167.9° true,2/23/2023 17:46,N40° 09.048' E44° 24.088'
26,853 m,20 m,0:00:25,2.9 km/h,177.2° true,2/23/2023 17:47,N40° 09.045' E44° 24.089'
27,854 m,22 m,0:00:29,2.8 km/h,179.5° true,2/23/2023 17:47,N40° 09.034' E44° 24.090'
28,855 m,23 m,0:00:25,3.3 km/h,170.7° true,2/23/2023 17:47,N40° 09.022' E44° 24.090'
29,855 m,19 m,0:00:22,3.2 km/h,193.1° true,2/23/2023 17:48,N40° 09.010' E44° 24.092'
30,856 m,12 m,0:00:14,3.0 km/h,218.9° true,2/23/2023 17:48,N40° 09.000' E44° 24.089'
31,855 m,11 m,0:00:13,3.1 km/h,220.9° true,2/23/2023 17:48,N40° 08.995' E44° 24.084'
32,855 m,13 m,0:00:12,4.0 km/h,243.2° true,2/23/2023 17:49,N40° 08.990' E44° 24.079'
33,854 m,14 m,0:00:18,2.9 km/h,260.5° true,2/23/2023 17:49,N40° 08.987' E44° 24.071'
34,854 m,3 m,0:00:29,0.4 km/h,237.5° true,2/23/2023 17:49,N40° 08.986' E44° 24.061'
35,853 m,3 m,0:00:13,0.8 km/h,232.5° true,2/23/2023 17:50,N40° 08.985' E44° 24.059'
36,853 m,2 m,0:00:14,0.5 km/h,311.7° true,2/23/2023 17:50,N40° 08.984' E44° 24.057'
37,853 m,2 m,0:00:14,0.4 km/h,325.5° true,2/23/2023 17:50,N40° 08.985' E44° 24.056'
38,852 m,4 m,0:00:21,0.7 km/h,6.8° true,2/23/2023 17:50,N40° 08.986' E44° 24.055'
39,852 m,5 m,0:00:20,0.9 km/h,178.5° true,2/23/2023 17:51,N40° 08.988' E44° 24.056'
40,852 m,1 m,0:00:22,0.2 km/h,302.3° true,2/23/2023 17:51,N40° 08.985' E44° 24.056'
41,852 m,3 m,0:00:25,0.4 km/h,60.2° true,2/23/2023 17:51,N40° 08.985' E44° 24.055'
