Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
1,244 m,52 m,0:00:08,23 km/h,338.7° true,4/9/2023 13:32,N56° 47.332' E60° 37.134'
2,301 m,19 m,0:00:07,10 km/h,290.8° true,4/9/2023 13:32,N56° 47.358' E60° 37.116'
3,305 m,53 m,0:00:07,27 km/h,274.9° true,4/9/2023 13:32,N56° 47.362' E60° 37.098'
4,276 m,110 m,0:00:10,40 km/h,296.0° true,4/9/2023 13:33,N56° 47.364' E60° 37.046'
5,274 m,54 m,0:00:05,39 km/h,292.5° true,4/9/2023 13:33,N56° 47.390' E60° 36.948'
6,276 m,22 m,0:00:02,39 km/h,280.6° true,4/9/2023 13:33,N56° 47.402' E60° 36.900'
7,276 m,11 m,0:00:01,40 km/h,273.7° true,4/9/2023 13:33,N56° 47.404' E60° 36.879'
8,276 m,57 m,0:00:05,41 km/h,273.8° true,4/9/2023 13:33,N56° 47.404' E60° 36.868'
9,279 m,12 m,0:00:01,42 km/h,285.4° true,4/9/2023 13:33,N56° 47.406' E60° 36.812'
10,279 m,12 m,0:00:01,43 km/h,291.0° true,4/9/2023 13:33,N56° 47.408' E60° 36.801'
11,279 m,13 m,0:00:01,46 km/h,296.6° true,4/9/2023 13:33,N56° 47.410' E60° 36.790'
12,279 m,13 m,0:00:01,47 km/h,300.4° true,4/9/2023 13:33,N56° 47.413' E60° 36.779'
13,279 m,125 m,0:00:09,50 km/h,296.0° true,4/9/2023 13:33,N56° 47.417' E60° 36.768'
14,282 m,140 m,0:00:10,50 km/h,288.3° true,4/9/2023 13:33,N56° 47.446' E60° 36.657'
15,281 m,107 m,0:00:09,43 km/h,282.2° true,4/9/2023 13:33,N56° 47.470' E60° 36.527'
16,277 m,55 m,0:00:07,28 km/h,279.5° true,4/9/2023 13:33,N56° 47.482' E60° 36.424'
17,275 m,7 m,0:00:01,25 km/h,256.5° true,4/9/2023 13:34,N56° 47.487' E60° 36.370'
18,275 m,7 m,0:00:01,26 km/h,242.4° true,4/9/2023 13:34,N56° 47.486' E60° 36.364'
19,275 m,7 m,0:00:01,25 km/h,232.9° true,4/9/2023 13:34,N56° 47.484' E60° 36.358'
20,275 m,7 m,0:00:01,24 km/h,225.9° true,4/9/2023 13:34,N56° 47.482' E60° 36.352'
21,275 m,7 m,0:00:01,24 km/h,217.1° true,4/9/2023 13:34,N56° 47.480' E60° 36.348'
22,275 m,6 m,0:00:01,22 km/h,208.7° true,4/9/2023 13:34,N56° 47.477' E60° 36.344'
23,275 m,6 m,0:00:01,22 km/h,200.6° true,4/9/2023 13:34,N56° 47.474' E60° 36.341'
24,275 m,6 m,0:00:01,22 km/h,198.2° true,4/9/2023 13:34,N56° 47.471' E60° 36.339'
25,275 m,6 m,0:00:01,23 km/h,189.4° true,4/9/2023 13:34,N56° 47.468' E60° 36.337'
26,274 m,21 m,0:00:03,25 km/h,179.9° true,4/9/2023 13:34,N56° 47.464' E60° 36.336'
27,274 m,8 m,0:00:01,30 km/h,153.9° true,4/9/2023 13:34,N56° 47.453' E60° 36.336'
