Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
1813,50 m,32 m,0:00:09,13 km/h,254.6° true,6/14/2023 13:57,N36° 55.893' E30° 48.968'
1814,50 m,23 m,0:00:09,9 km/h,256.3° true,6/14/2023 13:57,N36° 55.889' E30° 48.947'
1815,51 m,1 m,0:00:08,0.4 km/h,294.3° true,6/14/2023 13:57,N36° 55.886' E30° 48.933'
1816,51 m,2 m,0:00:01,7 km/h,322.6° true,6/14/2023 13:57,N36° 55.886' E30° 48.932'
1817,51 m,3 m,0:00:01,10 km/h,344.3° true,6/14/2023 13:57,N36° 55.887' E30° 48.931'
1818,51 m,50 m,0:00:10,18 km/h,354.0° true,6/14/2023 13:57,N36° 55.888' E30° 48.931'
1819,53 m,12 m,0:00:02,22 km/h,342.0° true,6/14/2023 13:57,N36° 55.915' E30° 48.927'
1820,54 m,6 m,0:00:01,21 km/h,333.4° true,6/14/2023 13:57,N36° 55.921' E30° 48.925'
1821,54 m,77 m,0:00:12,23 km/h,328.5° true,6/14/2023 13:57,N36° 55.924' E30° 48.923'
1822,55 m,89 m,0:00:11,29 km/h,338.0° true,6/14/2023 13:58,N36° 55.960' E30° 48.896'
1823,56 m,90 m,0:00:11,29 km/h,342.3° true,6/14/2023 13:58,N36° 56.004' E30° 48.874'
1824,58 m,70 m,0:00:10,25 km/h,335.2° true,6/14/2023 13:58,N36° 56.050' E30° 48.855'
1825,61 m,10 m,0:00:03,12 km/h,353.0° true,6/14/2023 13:58,N36° 56.084' E30° 48.835'
1826,62 m,3 m,0:00:01,12 km/h,34.2° true,6/14/2023 13:58,N36° 56.090' E30° 48.835'
1827,63 m,3 m,0:00:01,12 km/h,53.0° true,6/14/2023 13:58,N36° 56.091' E30° 48.836'
1828,63 m,4 m,0:00:01,13 km/h,68.9° true,6/14/2023 13:58,N36° 56.092' E30° 48.838'
1829,63 m,4 m,0:00:01,13 km/h,81.1° true,6/14/2023 13:58,N36° 56.093' E30° 48.840'
1830,63 m,4 m,0:00:01,13 km/h,88.8° true,6/14/2023 13:58,N36° 56.093' E30° 48.843'
1831,63 m,4 m,0:00:01,13 km/h,93.8° true,6/14/2023 13:58,N36° 56.093' E30° 48.845'
1832,63 m,29 m,0:00:11,10 km/h,100.8° true,6/14/2023 13:58,N36° 56.093' E30° 48.847'
1833,63 m,3 m,0:00:02,6 km/h,95.8° true,6/14/2023 13:58,N36° 56.090' E30° 48.867'
1834,63 m,3 m,0:00:11,1.0 km/h,77.3° true,6/14/2023 13:58,N36° 56.090' E30° 48.869'
1835,63 m,2 m,0:00:20,0.4 km/h,64.3° true,6/14/2023 13:59,N36° 56.090' E30° 48.871'
1836,58 m,1 m,0:00:23,0.2 km/h,159.0° true,6/14/2023 13:59,N36° 56.091' E30° 48.872'
1837,52 m,2 m,0:00:25,0.3 km/h,194.4° true,6/14/2023 13:59,N36° 56.090' E30° 48.873'
1838,52 m,1 m,0:00:22,0.2 km/h,56.0° true,6/14/2023 14:00,N36° 56.089' E30° 48.872'
1839,50 m,1 m,0:00:21,0.2 km/h,337.7° true,6/14/2023 14:00,N36° 56.090' E30° 48.873'
