Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
1,230 m,19 m,0:00:13,5 km/h,265.1° true,6/14/2023 7:10,N56° 44.950' E60° 48.220'
2,249 m,13 m,0:00:15,3.2 km/h,81.2° true,6/14/2023 7:10,N56° 44.949' E60° 48.202'
3,238 m,7 m,0:00:14,1.7 km/h,270.0° true,6/14/2023 7:11,N56° 44.950' E60° 48.215'
4,241 m,1 m,0:00:12,0.2 km/h,191.1° true,6/14/2023 7:11,N56° 44.950' E60° 48.209'
5,241 m,5 m,0:00:15,1.3 km/h,171.7° true,6/14/2023 7:11,N56° 44.950' E60° 48.208'
6,239 m,6 m,0:00:21,1.0 km/h,286.3° true,6/14/2023 7:11,N56° 44.947' E60° 48.209'
7,242 m,8 m,0:00:22,1.3 km/h,81.6° true,6/14/2023 7:12,N56° 44.948' E60° 48.204'
8,239 m,4 m,0:00:22,0.6 km/h,300.1° true,6/14/2023 7:12,N56° 44.948' E60° 48.212'
9,237 m,2 m,0:00:22,0.3 km/h,203.8° true,6/14/2023 7:12,N56° 44.949' E60° 48.208'
10,239 m,3 m,0:00:18,0.6 km/h,264.3° true,6/14/2023 7:13,N56° 44.948' E60° 48.208'
11,239 m,5 m,0:00:18,0.9 km/h,218.0° true,6/14/2023 7:13,N56° 44.948' E60° 48.205'
12,242 m,1 m,0:00:20,0.1 km/h,296.9° true,6/14/2023 7:13,N56° 44.946' E60° 48.202'
13,241 m,1 m,0:00:19,0.1 km/h,93.9° true,6/14/2023 7:14,N56° 44.946' E60° 48.201'
14,241 m,1 m,0:00:21,0.1 km/h,258.2° true,6/14/2023 7:14,N56° 44.946' E60° 48.202'
15,242 m,3 m,0:00:20,0.5 km/h,263.6° true,6/14/2023 7:14,N56° 44.946' E60° 48.201'
16,242 m,3 m,0:00:24,0.4 km/h,92.1° true,6/14/2023 7:15,N56° 44.946' E60° 48.199'
17,242 m,3 m,0:00:05,1.9 km/h,164.5° true,6/14/2023 7:15,N56° 44.946' E60° 48.201'
18,242 m,24 m,0:00:16,5 km/h,173.6° true,6/14/2023 7:15,N56° 44.945' E60° 48.202'
19,243 m,10 m,0:00:06,6 km/h,196.0° true,6/14/2023 7:15,N56° 44.932' E60° 48.205'
20,242 m,16 m,0:00:10,6 km/h,202.6° true,6/14/2023 7:16,N56° 44.927' E60° 48.202'
21,243 m,16 m,0:00:12,5 km/h,221.3° true,6/14/2023 7:16,N56° 44.919' E60° 48.196'
22,243 m,20 m,0:00:12,6 km/h,255.8° true,6/14/2023 7:16,N56° 44.912' E60° 48.185'
23,244 m,2 m,0:00:01,6 km/h,255.9° true,6/14/2023 7:16,N56° 44.909' E60° 48.167'
24,244 m,13 m,0:00:11,4.4 km/h,283.2° true,6/14/2023 7:16,N56° 44.909' E60° 48.165'
25,244 m,8 m,0:00:27,1.0 km/h,54.5° true,6/14/2023 7:16,N56° 44.911' E60° 48.152'
26,240 m,1 m,0:00:21,0.2 km/h,135.5° true,6/14/2023 7:17,N56° 44.913' E60° 48.158'
27,238 m,1 m,0:00:22,0.2 km/h,41.1° true,6/14/2023 7:17,N56° 44.913' E60° 48.159'
28,237 m,2 m,0:00:23,0.4 km/h,134.0° true,6/14/2023 7:17,N56° 44.913' E60° 48.160'
29,236 m,1 m,0:00:23,0.2 km/h,247.8° true,6/14/2023 7:18,N56° 44.912' E60° 48.162'
30,235 m,2 m,0:00:25,0.3 km/h,238.9° true,6/14/2023 7:18,N56° 44.912' E60° 48.161'
31,235 m,3 m,0:00:23,0.4 km/h,275.7° true,6/14/2023 7:19,N56° 44.912' E60° 48.159'
32,236 m,1 m,0:00:20,0.1 km/h,92.6° true,6/14/2023 7:19,N56° 44.912' E60° 48.157'
33,235 m,2 m,0:00:22,0.4 km/h,67.8° true,6/14/2023 7:19,N56° 44.912' E60° 48.157'
34,235 m,1 m,0:00:22,0.2 km/h,297.5° true,6/14/2023 7:20,N56° 44.912' E60° 48.159'
35,235 m,6 m,0:00:18,1.3 km/h,84.4° true,6/14/2023 7:20,N56° 44.913' E60° 48.158'
36,236 m,2 m,0:00:02,4.0 km/h,88.6° true,6/14/2023 7:20,N56° 44.913' E60° 48.165'
37,236 m,25 m,0:00:14,6 km/h,93.7° true,6/14/2023 7:20,N56° 44.913' E60° 48.167'
38,236 m,27 m,0:00:12,8 km/h,91.6° true,6/14/2023 7:21,N56° 44.912' E60° 48.191'
39,237 m,40 m,0:00:16,9 km/h,89.0° true,6/14/2023 7:21,N56° 44.912' E60° 48.217'
