Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
3,18 m,12 m,0:00:18,2.5 km/h,224.7° true,6/16/2023 11:59,N36° 32.763' E32° 00.382'
4,20 m,4 m,0:00:26,0.6 km/h,228.9° true,6/16/2023 12:00,N36° 32.759' E32° 00.376'
5,21 m,2 m,0:00:19,0.3 km/h,158.3° true,6/16/2023 12:00,N36° 32.757' E32° 00.374'
6,23 m,21 m,0:00:09,8 km/h,169.3° true,6/16/2023 12:00,N36° 32.756' E32° 00.375'
7,24 m,47 m,0:00:14,12 km/h,176.6° true,6/16/2023 12:00,N36° 32.745' E32° 00.377'
8,21 m,35 m,0:00:11,12 km/h,170.4° true,6/16/2023 12:01,N36° 32.720' E32° 00.379'
9,20 m,2 m,0:00:01,6 km/h,250.2° true,6/16/2023 12:01,N36° 32.701' E32° 00.383'
10,20 m,2 m,0:00:01,6 km/h,272.0° true,6/16/2023 12:01,N36° 32.701' E32° 00.382'
11,20 m,6 m,0:00:09,2.5 km/h,76.0° true,6/16/2023 12:01,N36° 32.701' E32° 00.381'
12,19 m,4 m,0:00:06,2.1 km/h,86.2° true,6/16/2023 12:01,N36° 32.702' E32° 00.385'
13,18 m,23 m,0:00:08,10 km/h,1.5° true,6/16/2023 12:01,N36° 32.702' E32° 00.387'
14,18 m,29 m,0:00:11,10 km/h,354.1° true,6/16/2023 12:01,N36° 32.714' E32° 00.388'
15,23 m,28 m,0:00:10,10 km/h,351.9° true,6/16/2023 12:01,N36° 32.730' E32° 00.386'
16,23 m,7 m,0:00:04,6 km/h,11.2° true,6/16/2023 12:02,N36° 32.744' E32° 00.383'
17,24 m,1 m,0:00:01,5 km/h,6.7° true,6/16/2023 12:02,N36° 32.748' E32° 00.384'
18,24 m,3 m,0:00:12,0.8 km/h,356.7° true,6/16/2023 12:02,N36° 32.749' E32° 00.384'
19,23 m,3 m,0:00:22,0.6 km/h,261.6° true,6/16/2023 12:02,N36° 32.750' E32° 00.384'
20,24 m,8 m,0:00:19,1.5 km/h,227.5° true,6/16/2023 12:02,N36° 32.750' E32° 00.382'
21,23 m,4 m,0:00:22,0.7 km/h,279.3° true,6/16/2023 12:03,N36° 32.747' E32° 00.378'
