Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
1073,341 m,0 m,0:00:08,0.2 km/h,61.2° true,6/16/2023 13:14,N36° 31.526' E32° 18.808'
1074,342 m,3 m,0:00:11,0.9 km/h,36.2° true,6/16/2023 13:14,N36° 31.526' E32° 18.808'
1075,343 m,4 m,0:00:21,0.8 km/h,3.0° true,6/16/2023 13:14,N36° 31.527' E32° 18.809'
1076,346 m,3 m,0:00:09,1.3 km/h,22.9° true,6/16/2023 13:14,N36° 31.530' E32° 18.809'
1077,347 m,2 m,0:00:24,0.3 km/h,352.7° true,6/16/2023 13:15,N36° 31.531' E32° 18.810'
1078,343 m,2 m,0:00:16,0.5 km/h,224.4° true,6/16/2023 13:15,N36° 31.532' E32° 18.810'
1079,344 m,3 m,0:00:19,0.5 km/h,330.3° true,6/16/2023 13:15,N36° 31.531' E32° 18.809'
1080,345 m,4 m,0:00:17,0.8 km/h,108.7° true,6/16/2023 13:16,N36° 31.533' E32° 18.808'
1081,347 m,3 m,0:00:21,0.6 km/h,141.6° true,6/16/2023 13:16,N36° 31.532' E32° 18.811'
1082,342 m,7 m,0:00:21,1.2 km/h,108.0° true,6/16/2023 13:16,N36° 31.531' E32° 18.812'
1083,341 m,3 m,0:00:16,0.7 km/h,45.2° true,6/16/2023 13:17,N36° 31.529' E32° 18.816'
1084,342 m,8 m,0:00:17,1.7 km/h,280.5° true,6/16/2023 13:17,N36° 31.531' E32° 18.818'
1085,346 m,7 m,0:00:22,1.2 km/h,260.9° true,6/16/2023 13:17,N36° 31.531' E32° 18.812'
1086,350 m,14 m,0:00:21,2.4 km/h,13.7° true,6/16/2023 13:17,N36° 31.531' E32° 18.808'
1087,351 m,6 m,0:00:08,2.6 km/h,39.6° true,6/16/2023 13:18,N36° 31.538' E32° 18.810'
1088,352 m,4 m,0:00:21,0.7 km/h,193.7° true,6/16/2023 13:18,N36° 31.541' E32° 18.812'
1089,356 m,3 m,0:00:06,1.7 km/h,185.8° true,6/16/2023 13:18,N36° 31.539' E32° 18.812'
1090,359 m,10 m,0:00:21,1.8 km/h,235.9° true,6/16/2023 13:18,N36° 31.537' E32° 18.812'
1091,363 m,3 m,0:00:14,0.6 km/h,145.9° true,6/16/2023 13:19,N36° 31.534' E32° 18.806'
1092,365 m,3 m,0:00:15,0.6 km/h,157.0° true,6/16/2023 13:19,N36° 31.533' E32° 18.807'
1093,365 m,5 m,0:00:17,1.0 km/h,320.3° true,6/16/2023 13:19,N36° 31.531' E32° 18.807'
1094,366 m,6 m,0:00:15,1.5 km/h,297.3° true,6/16/2023 13:20,N36° 31.533' E32° 18.806'
1095,368 m,5 m,0:00:14,1.3 km/h,163.4° true,6/16/2023 13:20,N36° 31.535' E32° 18.802'
1096,369 m,6 m,0:00:21,1.0 km/h,160.2° true,6/16/2023 13:20,N36° 31.532' E32° 18.803'
1097,370 m,2 m,0:00:14,0.5 km/h,117.3° true,6/16/2023 13:20,N36° 31.529' E32° 18.804'
1098,371 m,4 m,0:00:21,0.6 km/h,193.9° true,6/16/2023 13:21,N36° 31.529' E32° 18.805'
1099,377 m,2 m,0:00:20,0.4 km/h,119.9° true,6/16/2023 13:21,N36° 31.527' E32° 18.805'
1100,379 m,3 m,0:00:15,0.8 km/h,106.5° true,6/16/2023 13:21,N36° 31.526' E32° 18.806'
1101,379 m,5 m,0:00:17,1.0 km/h,88.5° true,6/16/2023 13:22,N36° 31.525' E32° 18.808'
1102,380 m,5 m,0:00:13,1.5 km/h,32.6° true,6/16/2023 13:22,N36° 31.526' E32° 18.811'
1103,380 m,5 m,0:00:07,2.6 km/h,49.0° true,6/16/2023 13:22,N36° 31.528' E32° 18.813'
1104,380 m,10 m,0:00:09,4.1 km/h,11.4° true,6/16/2023 13:22,N36° 31.530' E32° 18.816'
1105,380 m,6 m,0:00:17,1.2 km/h,294.3° true,6/16/2023 13:22,N36° 31.535' E32° 18.817'
1106,378 m,15 m,0:00:11,5 km/h,7.8° true,6/16/2023 13:23,N36° 31.536' E32° 18.814'
1107,378 m,5 m,0:00:05,3.5 km/h,39.0° true,6/16/2023 13:23,N36° 31.544' E32° 18.815'
1108,379 m,4 m,0:00:08,2.0 km/h,44.6° true,6/16/2023 13:23,N36° 31.546' E32° 18.817'
1109,379 m,11 m,0:00:16,2.4 km/h,1.2° true,6/16/2023 13:23,N36° 31.548' E32° 18.819'
1110,380 m,16 m,0:00:14,4.0 km/h,354.0° true,6/16/2023 13:23,N36° 31.554' E32° 18.819'
1111,381 m,18 m,0:00:14,5 km/h,5.4° true,6/16/2023 13:23,N36° 31.562' E32° 18.818'
1112,386 m,13 m,0:00:15,3.1 km/h,9.6° true,6/16/2023 13:24,N36° 31.572' E32° 18.820'
1113,390 m,13 m,0:00:13,3.6 km/h,358.5° true,6/16/2023 13:24,N36° 31.579' E32° 18.821'
1114,393 m,13 m,0:00:15,3.2 km/h,326.9° true,6/16/2023 13:24,N36° 31.586' E32° 18.821'
1115,394 m,9 m,0:00:11,3.0 km/h,326.9° true,6/16/2023 13:24,N36° 31.592' E32° 18.816'
1116,395 m,15 m,0:00:15,3.5 km/h,319.7° true,6/16/2023 13:25,N36° 31.596' E32° 18.812'
1117,396 m,15 m,0:00:13,4.0 km/h,342.2° true,6/16/2023 13:25,N36° 31.602' E32° 18.806'
1118,398 m,21 m,0:00:16,5 km/h,355.2° true,6/16/2023 13:25,N36° 31.609' E32° 18.803'
1119,403 m,15 m,0:00:15,3.6 km/h,343.5° true,6/16/2023 13:25,N36° 31.621' E32° 18.802'
1120,405 m,12 m,0:00:11,4.0 km/h,333.3° true,6/16/2023 13:26,N36° 31.629' E32° 18.799'
1121,408 m,21 m,0:00:19,4.0 km/h,332.4° true,6/16/2023 13:26,N36° 31.634' E32° 18.795'
1122,415 m,17 m,0:00:15,4.1 km/h,271.9° true,6/16/2023 13:26,N36° 31.644' E32° 18.789'
1123,411 m,10 m,0:00:13,2.8 km/h,328.1° true,6/16/2023 13:26,N36° 31.645' E32° 18.778'
1124,409 m,11 m,0:00:13,2.9 km/h,349.3° true,6/16/2023 13:27,N36° 31.649' E32° 18.774'
1125,407 m,4 m,0:00:04,3.5 km/h,34.9° true,6/16/2023 13:27,N36° 31.655' E32° 18.773'
1126,408 m,14 m,0:00:15,3.3 km/h,9.4° true,6/16/2023 13:27,N36° 31.657' E32° 18.774'
1127,411 m,4 m,0:00:15,1.1 km/h,279.6° true,6/16/2023 13:27,N36° 31.664' E32° 18.776'
1128,409 m,2 m,0:00:10,0.6 km/h,239.4° true,6/16/2023 13:27,N36° 31.664' E32° 18.773'
1129,409 m,12 m,0:00:22,2.0 km/h,257.1° true,6/16/2023 13:28,N36° 31.664' E32° 18.772'
1130,405 m,1 m,0:00:17,0.3 km/h,180.6° true,6/16/2023 13:28,N36° 31.662' E32° 18.764'
1131,404 m,5 m,0:00:15,1.3 km/h,64.1° true,6/16/2023 13:28,N36° 31.662' E32° 18.764'
1132,404 m,3 m,0:00:14,0.8 km/h,339.2° true,6/16/2023 13:28,N36° 31.663' E32° 18.767'
1133,404 m,4 m,0:00:05,2.9 km/h,39.3° true,6/16/2023 13:29,N36° 31.664' E32° 18.766'
1134,403 m,8 m,0:00:12,2.3 km/h,0.2° true,6/16/2023 13:29,N36° 31.666' E32° 18.768'
1135,401 m,5 m,0:00:15,1.1 km/h,26.8° true,6/16/2023 13:29,N36° 31.670' E32° 18.768'
1136,400 m,4 m,0:00:16,0.9 km/h,5.2° true,6/16/2023 13:29,N36° 31.672' E32° 18.769'
1137,399 m,6 m,0:00:14,1.5 km/h,66.4° true,6/16/2023 13:29,N36° 31.674' E32° 18.770'
1138,397 m,4 m,0:00:18,0.7 km/h,264.8° true,6/16/2023 13:30,N36° 31.676' E32° 18.773'
1139,395 m,3 m,0:00:08,1.6 km/h,7.6° true,6/16/2023 13:30,N36° 31.676' E32° 18.771'
1140,394 m,6 m,0:00:06,3.9 km/h,21.5° true,6/16/2023 13:30,N36° 31.677' E32° 18.771'
1141,393 m,2 m,0:00:01,8 km/h,35.1° true,6/16/2023 13:30,N36° 31.681' E32° 18.773'
1142,393 m,5 m,0:00:02,9 km/h,38.0° true,6/16/2023 13:30,N36° 31.682' E32° 18.773'
1143,393 m,3 m,0:00:01,10 km/h,47.7° true,6/16/2023 13:30,N36° 31.684' E32° 18.776'
1144,393 m,1 m,0:00:01,4.4 km/h,339.7° true,6/16/2023 13:30,N36° 31.685' E32° 18.777'
1145,393 m,1 m,0:00:01,3.4 km/h,36.3° true,6/16/2023 13:30,N36° 31.685' E32° 18.777'
1146,393 m,4 m,0:00:06,2.4 km/h,307.5° true,6/16/2023 13:30,N36° 31.686' E32° 18.777'
1147,395 m,17 m,0:00:18,3.3 km/h,290.6° true,6/16/2023 13:30,N36° 31.687' E32° 18.775'
1148,393 m,6 m,0:00:08,2.9 km/h,13.7° true,6/16/2023 13:31,N36° 31.690' E32° 18.764'
1149,394 m,1 m,0:00:01,5 km/h,18.1° true,6/16/2023 13:31,N36° 31.694' E32° 18.765'
1150,394 m,1 m,0:00:01,3.9 km/h,37.9° true,6/16/2023 13:31,N36° 31.694' E32° 18.766'
1151,394 m,9 m,0:00:09,3.7 km/h,36.0° true,6/16/2023 13:31,N36° 31.695' E32° 18.766'
1152,395 m,9 m,0:00:13,2.5 km/h,5.7° true,6/16/2023 13:31,N36° 31.699' E32° 18.770'
1153,395 m,11 m,0:00:13,3.1 km/h,345.1° true,6/16/2023 13:31,N36° 31.704' E32° 18.770'
1154,395 m,4 m,0:00:08,1.9 km/h,34.7° true,6/16/2023 13:31,N36° 31.709' E32° 18.768'
1155,394 m,8 m,0:00:08,3.7 km/h,87.5° true,6/16/2023 13:32,N36° 31.711' E32° 18.770'
1156,393 m,6 m,0:00:13,1.6 km/h,49.7° true,6/16/2023 13:32,N36° 31.712' E32° 18.776'
1157,388 m,10 m,0:00:08,4.5 km/h,54.6° true,6/16/2023 13:32,N36° 31.714' E32° 18.779'
1158,386 m,24 m,0:00:16,5 km/h,71.8° true,6/16/2023 13:32,N36° 31.717' E32° 18.784'
1159,379 m,9 m,0:00:41,0.8 km/h,49.7° true,6/16/2023 13:32,N36° 31.721' E32° 18.799'
1160,376 m,71 m,0:00:56,5 km/h,326.8° true,6/16/2023 13:33,N36° 31.724' E32° 18.804'
1161,391 m,8 m,0:00:08,3.6 km/h,1.4° true,6/16/2023 13:34,N36° 31.756' E32° 18.778'
1162,392 m,3 m,0:00:06,1.9 km/h,334.4° true,6/16/2023 13:34,N36° 31.760' E32° 18.778'
1163,394 m,7 m,0:00:08,3.1 km/h,273.6° true,6/16/2023 13:34,N36° 31.762' E32° 18.777'
1164,399 m,8 m,0:00:07,4.1 km/h,60.8° true,6/16/2023 13:34,N36° 31.762' E32° 18.772'
1165,402 m,3 m,0:00:04,3.0 km/h,99.3° true,6/16/2023 13:34,N36° 31.764' E32° 18.777'
1166,404 m,17 m,0:00:05,12 km/h,78.4° true,6/16/2023 13:35,N36° 31.764' E32° 18.779'
1167,406 m,0 m,0:00:01,1.6 km/h,310.0° true,6/16/2023 13:35,N36° 31.765' E32° 18.790'
1168,407 m,16 m,0:00:06,10 km/h,72.4° true,6/16/2023 13:35,N36° 31.766' E32° 18.790'
1169,409 m,14 m,0:00:08,7 km/h,56.3° true,6/16/2023 13:35,N36° 31.768' E32° 18.801'
1170,413 m,3 m,0:00:01,11 km/h,51.1° true,6/16/2023 13:35,N36° 31.773' E32° 18.809'
1171,413 m,2 m,0:00:03,2.9 km/h,15.6° true,6/16/2023 13:35,N36° 31.774' E32° 18.810'
1172,415 m,2 m,0:00:01,6 km/h,239.1° true,6/16/2023 13:35,N36° 31.775' E32° 18.811'
1173,416 m,2 m,0:00:01,7 km/h,267.9° true,6/16/2023 13:35,N36° 31.774' E32° 18.810'
1174,418 m,1 m,0:00:01,4.1 km/h,293.3° true,6/16/2023 13:35,N36° 31.774' E32° 18.808'
1175,419 m,4 m,0:00:01,15 km/h,279.8° true,6/16/2023 13:35,N36° 31.775' E32° 18.808'
1176,420 m,10 m,0:00:09,3.9 km/h,268.7° true,6/16/2023 13:35,N36° 31.775' E32° 18.805'
1177,429 m,6 m,0:00:13,1.8 km/h,22.7° true,6/16/2023 13:35,N36° 31.775' E32° 18.798'
1178,433 m,8 m,0:00:05,6 km/h,70.7° true,6/16/2023 13:35,N36° 31.778' E32° 18.800'
1179,434 m,20 m,0:00:11,6 km/h,62.7° true,6/16/2023 13:35,N36° 31.780' E32° 18.805'
1180,438 m,33 m,0:00:13,9 km/h,50.3° true,6/16/2023 13:36,N36° 31.784' E32° 18.817'
1181,439 m,11 m,0:00:08,5 km/h,34.9° true,6/16/2023 13:36,N36° 31.796' E32° 18.834'
1182,440 m,17 m,0:00:10,6 km/h,81.8° true,6/16/2023 13:36,N36° 31.800' E32° 18.838'
1183,445 m,15 m,0:00:11,5 km/h,55.1° true,6/16/2023 13:36,N36° 31.802' E32° 18.849'
1184,449 m,13 m,0:00:11,4.1 km/h,9.6° true,6/16/2023 13:36,N36° 31.806' E32° 18.857'
1185,449 m,5 m,0:00:13,1.5 km/h,177.9° true,6/16/2023 13:37,N36° 31.813' E32° 18.859'
1186,447 m,21 m,0:00:19,4.0 km/h,74.0° true,6/16/2023 13:37,N36° 31.810' E32° 18.859'
1187,450 m,6 m,0:00:06,3.3 km/h,82.4° true,6/16/2023 13:37,N36° 31.813' E32° 18.872'
1188,451 m,5 m,0:00:11,1.6 km/h,27.1° true,6/16/2023 13:37,N36° 31.814' E32° 18.876'
1189,454 m,4 m,0:00:10,1.3 km/h,98.2° true,6/16/2023 13:37,N36° 31.816' E32° 18.878'
1190,458 m,12 m,0:00:26,1.6 km/h,10.4° true,6/16/2023 13:37,N36° 31.816' E32° 18.880'
1191,461 m,18 m,0:00:14,5 km/h,69.1° true,6/16/2023 13:38,N36° 31.822' E32° 18.882'
1192,463 m,4 m,0:00:15,1.0 km/h,67.0° true,6/16/2023 13:38,N36° 31.826' E32° 18.893'
1193,465 m,15 m,0:00:14,3.8 km/h,36.1° true,6/16/2023 13:38,N36° 31.827' E32° 18.896'
1194,466 m,11 m,0:00:41,1.0 km/h,351.5° true,6/16/2023 13:39,N36° 31.833' E32° 18.902'
1195,472 m,20 m,0:00:11,7 km/h,177.1° true,6/16/2023 13:39,N36° 31.839' E32° 18.901'
1196,476 m,21 m,0:00:05,15 km/h,132.5° true,6/16/2023 13:40,N36° 31.828' E32° 18.901'
1197,476 m,3 m,0:00:08,1.4 km/h,111.6° true,6/16/2023 13:40,N36° 31.821' E32° 18.911'
1198,481 m,11 m,0:00:08,5 km/h,57.8° true,6/16/2023 13:40,N36° 31.820' E32° 18.913'
1199,485 m,22 m,0:00:11,7 km/h,55.4° true,6/16/2023 13:40,N36° 31.823' E32° 18.920'
1200,488 m,8 m,0:00:18,1.5 km/h,9.1° true,6/16/2023 13:40,N36° 31.830' E32° 18.932'
1201,486 m,3 m,0:00:06,1.6 km/h,316.9° true,6/16/2023 13:40,N36° 31.834' E32° 18.932'
1202,483 m,6 m,0:00:09,2.5 km/h,9.8° true,6/16/2023 13:40,N36° 31.835' E32° 18.931'
1203,477 m,34 m,0:00:18,7 km/h,298.0° true,6/16/2023 13:41,N36° 31.838' E32° 18.932'
1204,474 m,16 m,0:00:13,4.5 km/h,293.6° true,6/16/2023 13:41,N36° 31.847' E32° 18.912'
1205,475 m,12 m,0:00:15,2.9 km/h,312.1° true,6/16/2023 13:41,N36° 31.850' E32° 18.902'
1206,474 m,5 m,0:00:14,1.3 km/h,269.7° true,6/16/2023 13:41,N36° 31.855' E32° 18.896'
1207,476 m,12 m,0:00:16,2.6 km/h,24.3° true,6/16/2023 13:42,N36° 31.855' E32° 18.893'
1208,477 m,10 m,0:00:17,2.1 km/h,16.6° true,6/16/2023 13:42,N36° 31.860' E32° 18.896'
1209,476 m,10 m,0:00:08,4.3 km/h,296.0° true,6/16/2023 13:42,N36° 31.865' E32° 18.898'
1210,475 m,7 m,0:00:08,3.1 km/h,13.6° true,6/16/2023 13:42,N36° 31.868' E32° 18.892'
1211,474 m,12 m,0:00:12,3.7 km/h,38.8° true,6/16/2023 13:42,N36° 31.871' E32° 18.893'
1212,473 m,24 m,0:01:30,0.9 km/h,37.0° true,6/16/2023 13:43,N36° 31.876' E32° 18.898'
1213,469 m,4 m,0:00:09,1.4 km/h,299.3° true,6/16/2023 13:44,N36° 31.886' E32° 18.908'
1214,469 m,5 m,0:00:14,1.3 km/h,270.0° true,6/16/2023 13:44,N36° 31.887' E32° 18.906'
1215,469 m,3 m,0:00:14,0.8 km/h,87.6° true,6/16/2023 13:44,N36° 31.887' E32° 18.902'
1216,466 m,6 m,0:00:14,1.7 km/h,46.7° true,6/16/2023 13:45,N36° 31.887' E32° 18.905'
1217,464 m,17 m,0:00:23,2.6 km/h,5.7° true,6/16/2023 13:45,N36° 31.890' E32° 18.908'
1218,460 m,6 m,0:00:16,1.3 km/h,270.2° true,6/16/2023 13:45,N36° 31.899' E32° 18.909'
1219,454 m,3 m,0:00:12,1.0 km/h,57.5° true,6/16/2023 13:46,N36° 31.899' E32° 18.905'
1220,453 m,9 m,0:00:12,2.6 km/h,86.4° true,6/16/2023 13:46,N36° 31.900' E32° 18.907'
1221,451 m,5 m,0:00:16,1.0 km/h,70.4° true,6/16/2023 13:46,N36° 31.900' E32° 18.913'
1222,451 m,13 m,0:00:21,2.2 km/h,307.4° true,6/16/2023 13:46,N36° 31.901' E32° 18.915'
1223,452 m,12 m,0:00:19,2.3 km/h,247.4° true,6/16/2023 13:47,N36° 31.905' E32° 18.909'
1224,452 m,4 m,0:00:23,0.7 km/h,180.7° true,6/16/2023 13:47,N36° 31.902' E32° 18.901'
1225,457 m,5 m,0:00:22,0.8 km/h,312.2° true,6/16/2023 13:47,N36° 31.900' E32° 18.901'
1226,459 m,1 m,0:00:14,0.4 km/h,87.3° true,6/16/2023 13:48,N36° 31.902' E32° 18.899'
1227,459 m,5 m,0:00:15,1.2 km/h,29.3° true,6/16/2023 13:48,N36° 31.902' E32° 18.900'
1228,459 m,9 m,0:00:15,2.2 km/h,60.1° true,6/16/2023 13:48,N36° 31.904' E32° 18.901'
1229,460 m,2 m,0:00:09,0.8 km/h,6.4° true,6/16/2023 13:48,N36° 31.907' E32° 18.906'
1230,460 m,6 m,0:00:16,1.3 km/h,310.5° true,6/16/2023 13:49,N36° 31.908' E32° 18.907'
1231,460 m,2 m,0:00:15,0.6 km/h,8.9° true,6/16/2023 13:49,N36° 31.910' E32° 18.904'
1232,462 m,5 m,0:00:11,1.6 km/h,55.1° true,6/16/2023 13:49,N36° 31.911' E32° 18.904'
1233,463 m,3 m,0:00:15,0.7 km/h,317.9° true,6/16/2023 13:49,N36° 31.913' E32° 18.906'
1234,464 m,5 m,0:00:12,1.6 km/h,45.7° true,6/16/2023 13:50,N36° 31.914' E32° 18.905'
1235,465 m,3 m,0:00:12,0.9 km/h,82.2° true,6/16/2023 13:50,N36° 31.916' E32° 18.908'
1236,466 m,4 m,0:00:18,0.8 km/h,71.7° true,6/16/2023 13:50,N36° 31.916' E32° 18.910'
1237,468 m,2 m,0:00:15,0.6 km/h,88.6° true,6/16/2023 13:50,N36° 31.917' E32° 18.912'
1238,470 m,5 m,0:00:16,1.2 km/h,20.2° true,6/16/2023 13:50,N36° 31.917' E32° 18.914'
