Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
1,68 ל,6 ל,0:00:22,0.9 ךל/ק,313.5° טסעטםא,10/21/2023 3:21,N54.96156° E73.31791°
2,89 ל,1 ל,0:00:21,0.2 ךל/ק,261.4° טסעטםא,10/21/2023 3:21,N54.96159° E73.31784°
3,92 ל,1 ל,0:00:21,0.1 ךל/ק,314.7° טסעטםא,10/21/2023 3:22,N54.96159° E73.31782°
4,92 ל,1 ל,0:00:22,0.1 ךל/ק,71.2° טסעטםא,10/21/2023 3:22,N54.96160° E73.31782°
5,92 ל,1 ל,0:00:23,0.1 ךל/ק,207.8° טסעטםא,10/21/2023 3:22,N54.96160° E73.31782°
6,92 ל,2 ל,0:00:25,0.3 ךל/ק,176.8° טסעטםא,10/21/2023 3:23,N54.96159° E73.31782°
7,92 ל,1 ל,0:00:22,0.2 ךל/ק,94.4° טסעטםא,10/21/2023 3:23,N54.96157° E73.31782°
8,93 ל,2 ל,0:00:22,0.3 ךל/ק,265.4° טסעטםא,10/21/2023 3:23,N54.96157° E73.31784°
9,94 ל,1 ל,0:00:21,0.1 ךל/ק,220.0° טסעטםא,10/21/2023 3:24,N54.96157° E73.31781°
10,94 ל,0 ל,0:00:21,0.1 ךל/ק,59.2° טסעטםא,10/21/2023 3:24,N54.96156° E73.31781°
11,94 ל,1 ל,0:00:26,0.1 ךל/ק,338.6° טסעטםא,10/21/2023 3:25,N54.96156° E73.31781°
12,95 ל,1 ל,0:00:25,0.1 ךל/ק,245.1° טסעטםא,10/21/2023 3:25,N54.96157° E73.31781°
13,95 ל,2 ל,0:00:27,0.3 ךל/ק,336.1° טסעטםא,10/21/2023 3:25,N54.96157° E73.31780°
14,95 ל,1 ל,0:00:28,0.1 ךל/ק,64.6° טסעטםא,10/21/2023 3:26,N54.96159° E73.31779°
15,93 ל,3 ל,0:00:36,0.3 ךל/ק,73.9° טסעטםא,10/21/2023 3:26,N54.96159° E73.31780°
16,92 ל,2 ל,0:00:33,0.3 ךל/ק,82.6° טסעטםא,10/21/2023 3:27,N54.96160° E73.31785°
17,92 ל,3 ל,0:00:19,0.6 ךל/ק,312.6° טסעטםא,10/21/2023 3:27,N54.96160° E73.31789°
18,92 ל,1 ל,0:00:06,0.8 ךל/ק,277.4° טסעטםא,10/21/2023 3:28,N54.96162° E73.31785°
19,92 ל,2 ל,0:00:23,0.3 ךל/ק,347.5° טסעטםא,10/21/2023 3:28,N54.96162° E73.31783°
20,92 ל,2 ל,0:00:27,0.2 ךל/ק,188.2° טסעטםא,10/21/2023 3:28,N54.96164° E73.31783°
21,92 ל,1 ל,0:00:10,0.4 ךל/ק,358.3° טסעטםא,10/21/2023 3:29,N54.96162° E73.31782°
22,93 ל,3 ל,0:00:13,0.7 ךל/ק,183.1° טסעטםא,10/21/2023 3:29,N54.96163° E73.31782°
23,93 ל,2 ל,0:00:35,0.2 ךל/ק,190.1° טסעטםא,10/21/2023 3:29,N54.96161° E73.31782°
24,95 ל,2 ל,0:00:41,0.2 ךל/ק,193.0° טסעטםא,10/21/2023 3:30,N54.96160° E73.31781°
25,97 ל,2 ל,0:00:08,0.9 ךל/ק,107.6° טסעטםא,10/21/2023 3:30,N54.96158° E73.31781°
26,97 ל,36 ל,0:00:19,7 ךל/ק,105.4° טסעטםא,10/21/2023 3:30,N54.96157° E73.31784°
27,97 ל,30 ל,0:00:09,12 ךל/ק,73.6° טסעטםא,10/21/2023 3:31,N54.96149° E73.31838°
28,97 ל,42 ל,0:00:13,12 ךל/ק,40.0° טסעטםא,10/21/2023 3:31,N54.96156° E73.31883°
29,97 ל,68 ל,0:00:19,13 ךל/ק,46.3° טסעטםא,10/21/2023 3:31,N54.96185° E73.31926°
30,98 ל,43 ל,0:00:12,13 ךל/ק,45.7° טסעטםא,10/21/2023 3:31,N54.96228° E73.32003°
31,98 ל,66 ל,0:00:15,16 ךל/ק,45.3° טסעטםא,10/21/2023 3:32,N54.96255° E73.32051°
32,99 ל,59 ל,0:00:14,15 ךל/ק,40.6° טסעטםא,10/21/2023 3:32,N54.96296° E73.32125°
33,101 ל,55 ל,0:00:16,12 ךל/ק,34.3° טסעטםא,10/21/2023 3:32,N54.96337° E73.32185°
34,99 ל,40 ל,0:00:12,12 ךל/ק,11.9° טסעטםא,10/21/2023 3:32,N54.96378° E73.32234°
35,100 ל,43 ל,0:00:12,13 ךל/ק,12.6° טסעטםא,10/21/2023 3:33,N54.96413° E73.32246°
36,100 ל,41 ל,0:00:10,15 ךל/ק,55.7° טסעטםא,10/21/2023 3:33,N54.96450° E73.32261°
37,101 ל,73 ל,0:00:18,15 ךל/ק,75.9° טסעטםא,10/21/2023 3:33,N54.96471° E73.32314°
38,98 ל,100 ל,0:00:24,15 ךל/ק,77.2° טסעטםא,10/21/2023 3:33,N54.96487° E73.32425°
39,95 ל,80 ל,0:00:15,19 ךל/ק,75.6° טסעטםא,10/21/2023 3:34,N54.96506° E73.32577°
40,93 ל,107 ל,0:00:21,18 ךל/ק,77.3° טסעטםא,10/21/2023 3:34,N54.96524° E73.32697°
41,93 ל,92 ל,0:00:22,15 ךל/ק,74.7° טסעטםא,10/21/2023 3:34,N54.96545° E73.32860°
42,92 ל,41 ל,0:00:12,12 ךל/ק,47.0° טסעטםא,10/21/2023 3:35,N54.96567° E73.33000°
43,93 ל,15 ל,0:00:04,14 ךל/ק,16.0° טסעטםא,10/21/2023 3:35,N54.96593° E73.33047°
44,94 ל,62 ל,0:00:13,17 ךל/ק,351.0° טסעטםא,10/21/2023 3:35,N54.96606° E73.33054°
45,97 ל,104 ל,0:00:17,22 ךל/ק,346.2° טסעטםא,10/21/2023 3:35,N54.96660° E73.33039°
46,99 ל,94 ל,0:00:16,21 ךל/ק,347.2° טסעטםא,10/21/2023 3:35,N54.96751° E73.33000°
47,99 ל,100 ל,0:00:19,19 ךל/ק,347.1° טסעטםא,10/21/2023 3:36,N54.96833° E73.32967°
48,99 ל,45 ל,0:00:12,13 ךל/ק,330.4° טסעטםא,10/21/2023 3:36,N54.96921° E73.32932°
49,100 ל,32 ל,0:00:09,13 ךל/ק,274.5° טסעטםא,10/21/2023 3:36,N54.96956° E73.32898°
50,100 ל,43 ל,0:00:08,19 ךל/ק,255.4° טסעטםא,10/21/2023 3:36,N54.96958° E73.32848°
51,100 ל,69 ל,0:00:05,50 ךל/ק,259.0° טסעטםא,10/21/2023 3:36,N54.96948° E73.32784°
52,100 ל,97 ל,0:00:04,88 ךל/ק,258.0° טסעטםא,10/21/2023 3:37,N54.96936° E73.32678°
53,101 ל,141 ל,0:00:04,127 ךל/ק,256.8° טסעטםא,10/21/2023 3:37,N54.96918° E73.32529°
54,101 ל,174 ל,0:00:04,157 ךל/ק,256.9° טסעטםא,10/21/2023 3:37,N54.96889° E73.32314°
55,101 ל,206 ל,0:00:04,186 ךל/ק,256.7° טסעטםא,10/21/2023 3:37,N54.96854° E73.32048°
56,101 ל,236 ל,0:00:04,213 ךל/ק,257.1° טסעטםא,10/21/2023 3:37,N54.96811° E73.31734°
57,102 ל,336 ל,0:00:05,242 ךל/ק,256.8° טסעטםא,10/21/2023 3:37,N54.96763° E73.31373°
58,102 ל,445 ל,0:00:06,267 ךל/ק,257.3° טסעטםא,10/21/2023 3:37,N54.96694° E73.30862°
59,114 ל,606 ל,0:00:08,273 ךל/ק,258.8° טסעטםא,10/21/2023 3:37,N54.96606° E73.30182°
60,212 ל,587 ל,0:00:08,264 ךל/ק,258.9° טסעטםא,10/21/2023 3:37,N54.96500° E73.29251°
61,319 ל,572 ל,0:00:08,257 ךל/ק,256.7° טסעטםא,10/21/2023 3:37,N54.96398° E73.28350°
62,434 ל,619 ל,0:00:09,248 ךל/ק,255.5° טסעטםא,10/21/2023 3:37,N54.96280° E73.27479°
63,570 ל,999 ל,0:00:15,240 ךל/ק,255.6° טסעטםא,10/21/2023 3:38,N54.96140° E73.26542°
64,750 ל,952 ל,0:00:14,245 ךל/ק,256.1° טסעטםא,10/21/2023 3:38,N54.95917° E73.25028°
65,891 ל,843 ל,0:00:12,253 ךל/ק,256.6° טסעטםא,10/21/2023 3:38,N54.95711° E73.23583°
66,999 ל,527 ל,0:00:07,271 ךל/ק,257.1° טסעטםא,10/21/2023 3:38,N54.95536° E73.22300°
67,1033 ל,562 ל,0:00:07,289 ךל/ק,257.2° טסעטםא,10/21/2023 3:38,N54.95429° E73.21496°
68,1073 ל,592 ל,0:00:07,305 ךל/ק,257.1° טסעטםא,10/21/2023 3:39,N54.95317° E73.20639°
69,1116 ל,626 ל,0:00:07,322 ךל/ק,257.0° טסעטםא,10/21/2023 3:39,N54.95198° E73.19736°
70,1156 ל,661 ל,0:00:07,340 ךל/ק,257.0° טסעטםא,10/21/2023 3:39,N54.95071° E73.18781°
71,1196 ל,699 ל,0:00:07,359 ךל/ק,257.0° טסעטםא,10/21/2023 3:39,N54.94938° E73.17773°
72,1231 ל,522 ל,0:00:05,376 ךל/ק,258.4° טסעטםא,10/21/2023 3:39,N54.94797° E73.16709°
73,1255 ל,429 ל,0:00:04,386 ךל/ק,264.7° טסעטםא,10/21/2023 3:39,N54.94702° E73.15909°
74,1275 ל,330 ל,0:00:03,396 ךל/ק,270.9° טסעטםא,10/21/2023 3:39,N54.94666° E73.15241°
75,1292 ל,449 ל,0:00:04,404 ךל/ק,275.9° טסעטםא,10/21/2023 3:39,N54.94671° E73.14725°
76,1316 ל,461 ל,0:00:04,415 ךל/ק,280.9° טסעטםא,10/21/2023 3:39,N54.94713° E73.14026°
77,1340 ל,473 ל,0:00:04,426 ךל/ק,285.9° טסעטםא,10/21/2023 3:39,N54.94791° E73.13318°
78,1365 ל,487 ל,0:00:04,438 ךל/ק,290.1° טסעטםא,10/21/2023 3:39,N54.94907° E73.12606°
79,1391 ל,500 ל,0:00:04,450 ךל/ק,293.9° טסעטםא,10/21/2023 3:39,N54.95058° E73.11891°
80,1422 ל,508 ל,0:00:04,458 ךל/ק,297.2° טסעטםא,10/21/2023 3:40,N54.95240° E73.11176°
81,1464 ל,642 ל,0:00:05,462 ךל/ק,300.2° טסעטםא,10/21/2023 3:40,N54.95449° E73.10469°
82,1530 ל,778 ל,0:00:06,467 ךל/ק,303.2° טסעטםא,10/21/2023 3:40,N54.95739° E73.09601°
83,1620 ל,915 ל,0:00:07,470 ךל/ק,305.7° טסעטםא,10/21/2023 3:40,N54.96121° E73.08582°
84,1733 ל,1.1 ךל,0:00:08,473 ךל/ק,307.7° טסעטםא,10/21/2023 3:40,N54.96600° E73.07419°
85,1868 ל,1.2 ךל,0:00:09,471 ךל/ק,309.4° טסעטםא,10/21/2023 3:40,N54.97177° E73.06118°
86,2042 ל,1.5 ךל,0:00:12,464 ךל/ק,310.5° טסעטםא,10/21/2023 3:40,N54.97848° E73.04694°
87,2265 ל,1.8 ךל,0:00:14,468 ךל/ק,311.2° טסעטםא,10/21/2023 3:40,N54.98751° E73.02853°
88,2469 ל,1.5 ךל,0:00:11,477 ךל/ק,311.8° טסעטםא,10/21/2023 3:41,N54.99828° E73.00709°
89,2608 ל,1.4 ךל,0:00:10,489 ךל/ק,312.1° טסעטםא,10/21/2023 3:41,N55.00700° E72.99006°
