Index;Elevation;Leg distance;Leg time;Leg speed;Leg course;Time;Position;Car
1;240 м;18 м;0:00:24;2.7 км/ч;8.3° истина;06.09.2025 12:39;N56.79840° E60.61947°;
2;244 м;3 м;0:00:05;1.9 км/ч;348.7° истина;06.09.2025 12:39;N56.79856° E60.61952°;
3;245 м;81 м;4 дней 15:28:24;0.0 км/ч;172.2° истина;06.09.2025 12:39;N56.79859° E60.61951°;
4;256 м;3 м;0:00:25;0.4 км/ч;38.0° истина;11.09.2025 4:08;N56.79787° E60.61969°;
5;250 м;7 м;0:00:25;1.0 км/ч;16.0° истина;11.09.2025 4:08;N56.79788° E60.61971°;
6;244 м;4 м;0:00:23;0.6 км/ч;30.3° истина;11.09.2025 4:08;N56.79794° E60.61974°;
7;242 м;5 м;0:00:23;0.8 км/ч;178.8° истина;11.09.2025 4:09;N56.79797° E60.61978°;
8;244 м;6 м;0:00:05;4.1 км/ч;1.4° истина;11.09.2025 4:09;N56.79793° E60.61978°;
9;244 м;8 м;0:00:03;9 км/ч;295.3° истина;11.09.2025 4:09;N56.79798° E60.61978°;
10;244 м;4 м;0:00:01;15 км/ч;273.6° истина;11.09.2025 4:09;N56.79801° E60.61967°;
11;244 м;4 м;0:00:01;15 км/ч;271.1° истина;11.09.2025 4:09;N56.79801° E60.61960°;
12;244 м;5 м;0:00:01;17 км/ч;271.7° истина;11.09.2025 4:09;N56.79801° E60.61953°;
13;244 м;51 м;0:00:10;18 км/ч;265.8° истина;11.09.2025 4:09;N56.79801° E60.61945°;
14;245 м;4 м;0:00:01;15 км/ч;214.5° истина;11.09.2025 4:10;N56.79798° E60.61862°;
15;246 м;4 м;0:00:01;14 км/ч;205.4° истина;11.09.2025 4:10;N56.79795° E60.61858°;
16;246 м;2 м;0:00:01;9 км/ч;197.6° истина;11.09.2025 4:10;N56.79792° E60.61855°;
17;246 м;12 м;0:00:06;7 км/ч;166.1° истина;11.09.2025 4:10;N56.79790° E60.61854°;
18;247 м;4 м;0:00:01;15 км/ч;123.7° истина;11.09.2025 4:10;N56.79779° E60.61859°;
19;248 м;5 м;0:00:01;18 км/ч;111.8° истина;11.09.2025 4:10;N56.79777° E60.61864°;
20;248 м;6 м;0:00:01;23 км/ч;100.9° истина;11.09.2025 4:10;N56.79775° E60.61872°;
21;248 м;7 м;0:00:01;27 км/ч;93.2° истина;11.09.2025 4:10;N56.79774° E60.61882°;
