Index;Elevation;Leg distance;Leg time;Leg speed;Leg course;Time;Position;Car
1;240 м;1 м;0:00:33;0.1 км/ч;85.5° истина;01.11.2025 14:48;N56.79868° E60.61996°;
2;240 м;1 м;0:00:55;0.1 км/ч;208.7° истина;01.11.2025 14:49;N56.79868° E60.61997°;
3;240 м;1 м;0:00:35;0.1 км/ч;9.6° истина;01.11.2025 14:50;N56.79867° E60.61996°;
4;240 м;4 м;0:00:21;0.6 км/ч;4.0° истина;01.11.2025 14:50;N56.79868° E60.61996°;
5;240 м;4 м;0:00:22;0.7 км/ч;195.5° истина;01.11.2025 14:50;N56.79871° E60.61996°;
6;240 м;3 м;0:00:24;0.4 км/ч;21.6° истина;01.11.2025 14:51;N56.79868° E60.61995°;
7;240 м;4 м;0:00:18;0.9 км/ч;92.1° истина;01.11.2025 14:51;N56.79870° E60.61996°;
8;239 м;5 м;0:00:03;6 км/ч;182.9° истина;01.11.2025 14:52;N56.79870° E60.62003°;
9;239 м;31 м;0:00:08;14 км/ч;183.4° истина;01.11.2025 14:52;N56.79865° E60.62003°;
10;239 м;40 м;0:00:07;20 км/ч;183.3° истина;01.11.2025 14:52;N56.79838° E60.62000°;
11;239 м;5 м;0:00:01;17 км/ч;203.5° истина;01.11.2025 14:52;N56.79802° E60.61996°;
12;238 м;5 м;0:00:01;18 км/ч;209.6° истина;01.11.2025 14:52;N56.79798° E60.61993°;
13;238 м;4 м;0:00:01;16 км/ч;215.6° истина;01.11.2025 14:52;N56.79794° E60.61989°;
14;238 м;4 м;0:00:01;16 км/ч;242.9° истина;01.11.2025 14:52;N56.79791° E60.61985°;
15;238 м;5 м;0:00:01;17 км/ч;250.6° истина;01.11.2025 14:52;N56.79789° E60.61978°;
16;238 м;5 м;0:00:01;17 км/ч;247.0° истина;01.11.2025 14:52;N56.79788° E60.61971°;
17;238 м;48 м;0:00:12;14 км/ч;264.1° истина;01.11.2025 14:52;N56.79786° E60.61964°;
18;235 м;26 м;0:00:07;13 км/ч;256.5° истина;01.11.2025 14:52;N56.79781° E60.61885°;
19;233 м;9 м;0:00:02;16 км/ч;272.0° истина;01.11.2025 14:52;N56.79776° E60.61844°;
20;233 м;6 м;0:00:01;20 км/ч;278.8° истина;01.11.2025 14:52;N56.79776° E60.61829°;
21;232 м;59 м;0:00:08;26 км/ч;273.7° истина;01.11.2025 14:52;N56.79777° E60.61820°;
22;231 м;107 м;0:00:13;30 км/ч;271.9° истина;01.11.2025 14:52;N56.79780° E60.61724°;
23;231 м;49 м;0:00:09;20 км/ч;268.5° истина;01.11.2025 14:53;N56.79783° E60.61548°;
24;231 м;17 м;0:00:08;7 км/ч;256.3° истина;01.11.2025 14:53;N56.79782° E60.61467°;
25;233 м;5 м;0:00:12;1.4 км/ч;26.7° истина;01.11.2025 14:53;N56.79779° E60.61441°;
26;236 м;3 м;0:00:14;0.7 км/ч;248.3° истина;01.11.2025 14:53;N56.79782° E60.61444°;
27;238 м;7 м;0:00:06;4.4 км/ч;268.3° истина;01.11.2025 14:53;N56.79782° E60.61440°;
28;239 м;10 м;0:00:08;5 км/ч;257.2° истина;01.11.2025 14:53;N56.79781° E60.61428°;
29;238 м;3 м;0:00:01;10 км/ч;208.6° истина;01.11.2025 14:54;N56.79779° E60.61412°;
30;238 м;15 м;0:00:07;8 км/ч;182.2° истина;01.11.2025 14:54;N56.79777° E60.61409°;
31;238 м;5 м;0:00:02;8 км/ч;165.4° истина;01.11.2025 14:54;N56.79764° E60.61408°;
32;238 м;4 м;0:00:01;13 км/ч;172.3° истина;01.11.2025 14:54;N56.79760° E60.61410°;
33;238 м;4 м;0:00:01;15 км/ч;180.0° истина;01.11.2025 14:54;N56.79756° E60.61411°;
34;239 м;4 м;0:00:01;16 км/ч;199.5° истина;01.11.2025 14:54;N56.79753° E60.61411°;
35;239 м;5 м;0:00:01;18 км/ч;222.3° истина;01.11.2025 14:54;N56.79749° E60.61409°;
36;239 м;5 м;0:00:01;17 км/ч;239.7° истина;01.11.2025 14:54;N56.79746° E60.61403°;
37;239 м;5 м;0:00:01;17 км/ч;253.6° истина;01.11.2025 14:54;N56.79744° E60.61397°;
38;239 м;5 м;0:00:01;17 км/ч;272.1° истина;01.11.2025 14:54;N56.79742° E60.61389°;
39;239 м;5 м;0:00:01;19 км/ч;271.6° истина;01.11.2025 14:54;N56.79743° E60.61381°;
40;239 м;6 м;0:00:01;20 км/ч;270.8° истина;01.11.2025 14:54;N56.79743° E60.61372°;
41;239 м;60 м;0:00:09;24 км/ч;272.2° истина;01.11.2025 14:54;N56.79743° E60.61363°;
42;241 м;22 м;0:00:04;20 км/ч;269.0° истина;01.11.2025 14:54;N56.79745° E60.61265°;
43;241 м;5 м;0:00:01;17 км/ч;248.0° истина;01.11.2025 14:54;N56.79745° E60.61229°;
44;241 м;4 м;0:00:01;15 км/ч;227.6° истина;01.11.2025 14:54;N56.79743° E60.61222°;
45;240 м;5 м;0:00:01;17 км/ч;219.8° истина;01.11.2025 14:54;N56.79740° E60.61217°;
46;240 м;5 м;0:00:01;18 км/ч;215.1° истина;01.11.2025 14:54;N56.79737° E60.61212°;
47;241 м;5 м;0:00:01;18 км/ч;198.9° истина;01.11.2025 14:54;N56.79733° E60.61207°;
48;241 м;5 м;0:00:01;19 км/ч;194.4° истина;01.11.2025 14:54;N56.79729° E60.61205°;
49;241 м;60 м;0:00:11;19 км/ч;190.0° истина;01.11.2025 14:54;N56.79725° E60.61202°;
50;237 м;4 м;0:00:07;2.2 км/ч;163.6° истина;01.11.2025 14:54;N56.79672° E60.61186°;
51;236 м;11 м;0:00:28;1.4 км/ч;93.4° истина;01.11.2025 14:55;N56.79668° E60.61187°;
52;237 м;4 м;0:00:22;0.6 км/ч;67.9° истина;01.11.2025 14:55;N56.79668° E60.61206°;
53;239 м;3 м;0:00:23;0.5 км/ч;358.9° истина;01.11.2025 14:55;N56.79669° E60.61212°;
54;241 м;2 м;0:00:24;0.4 км/ч;357.3° истина;01.11.2025 14:56;N56.79672° E60.61211°;
55;242 м;6 м;0:00:27;0.7 км/ч;155.8° истина;01.11.2025 14:56;N56.79674° E60.61211°;
56;241 м;7 м;0:00:24;1.0 км/ч;240.7° истина;01.11.2025 14:57;N56.79669° E60.61215°;
57;243 м;3 м;0:00:23;0.4 км/ч;260.4° истина;01.11.2025 14:57;N56.79666° E60.61205°;
58;246 м;3 м;0:00:24;0.4 км/ч;22.8° истина;01.11.2025 14:57;N56.79666° E60.61201°;
59;246 м;6 м;0:00:23;1.0 км/ч;299.8° истина;01.11.2025 14:58;N56.79668° E60.61203°;
60;245 м;4 м;0:00:03;5 км/ч;175.3° истина;01.11.2025 14:58;N56.79671° E60.61194°;
61;245 м;21 м;0:00:07;11 км/ч;183.0° истина;01.11.2025 14:58;N56.79667° E60.61194°;
62;245 м;24 м;0:00:08;11 км/ч;169.3° истина;01.11.2025 14:58;N56.79648° E60.61193°;
63;245 м;26 м;0:00:09;11 км/ч;108.0° истина;01.11.2025 14:58;N56.79626° E60.61200°;
64;245 м;15 м;0:00:09;6 км/ч;187.7° истина;01.11.2025 14:59;N56.79619° E60.61241°;
65;245 м;6 м;0:00:05;4.4 км/ч;211.3° истина;01.11.2025 14:59;N56.79606° E60.61238°;
66;245 м;6 м;0:00:02;10 км/ч;256.0° истина;01.11.2025 14:59;N56.79601° E60.61233°;
67;245 м;4 м;0:00:01;15 км/ч;276.6° истина;01.11.2025 14:59;N56.79600° E60.61224°;
68;245 м;5 м;0:00:01;16 км/ч;274.5° истина;01.11.2025 14:59;N56.79600° E60.61217°;
69;245 м;49 м;0:00:12;15 км/ч;271.9° истина;01.11.2025 14:59;N56.79601° E60.61209°;
70;241 м;21 м;0:00:11;7 км/ч;266.7° истина;01.11.2025 14:59;N56.79602° E60.61129°;
71;238 м;1 м;0:00:17;0.2 км/ч;36.8° истина;01.11.2025 14:59;N56.79601° E60.61095°;
72;238 м;1 м;0:00:24;0.2 км/ч;60.6° истина;01.11.2025 15:00;N56.79602° E60.61096°;
73;237 м;6 м;0:00:24;0.9 км/ч;265.1° истина;01.11.2025 15:00;N56.79603° E60.61098°;
74;239 м;2 м;0:00:01;8 км/ч;288.7° истина;01.11.2025 15:00;N56.79602° E60.61089°;
75;239 м;4 м;0:00:01;13 км/ч;276.9° истина;01.11.2025 15:00;N56.79603° E60.61085°;
76;239 м;5 м;0:00:01;18 км/ч;271.2° истина;01.11.2025 15:00;N56.79603° E60.61079°;
77;239 м;5 м;0:00:01;19 км/ч;273.5° истина;01.11.2025 15:00;N56.79603° E60.61071°;
78;239 м;12 м;0:00:02;21 км/ч;269.8° истина;01.11.2025 15:00;N56.79604° E60.61063°;
79;239 м;6 м;0:00:01;21 км/ч;259.4° истина;01.11.2025 15:00;N56.79604° E60.61044°;
80;239 м;6 м;0:00:01;22 км/ч;246.1° истина;01.11.2025 15:00;N56.79603° E60.61034°;
81;239 м;6 м;0:00:01;23 км/ч;231.9° истина;01.11.2025 15:01;N56.79600° E60.61025°;
82;239 м;7 м;0:00:01;25 км/ч;221.0° истина;01.11.2025 15:01;N56.79597° E60.61017°;
83;239 м;8 м;0:00:01;30 км/ч;211.2° истина;01.11.2025 15:01;N56.79592° E60.61009°;
84;238 м;11 м;0:00:01;39 км/ч;205.4° истина;01.11.2025 15:01;N56.79586° E60.61002°;
85;238 м;11 м;0:00:01;41 км/ч;210.3° истина;01.11.2025 15:01;N56.79577° E60.60994°;
86;238 м;102 м;0:00:08;46 км/ч;214.8° истина;01.11.2025 15:01;N56.79568° E60.60985°;
87;237 м;130 м;0:00:10;47 км/ч;215.0° истина;01.11.2025 15:01;N56.79493° E60.60889°;
88;236 м;141 м;0:00:11;46 км/ч;214.3° истина;01.11.2025 15:01;N56.79397° E60.60767°;
89;233 м;127 м;0:00:11;41 км/ч;210.3° истина;01.11.2025 15:01;N56.79292° E60.60636°;
90;237 м;17 м;0:00:02;31 км/ч;193.7° истина;01.11.2025 15:01;N56.79194° E60.60532°;
91;237 м;8 м;0:00:01;28 км/ч;177.9° истина;01.11.2025 15:01;N56.79179° E60.60525°;
92;237 м;7 м;0:00:01;25 км/ч;166.5° истина;01.11.2025 15:01;N56.79172° E60.60526°;
93;237 м;7 м;0:00:01;26 км/ч;155.1° истина;01.11.2025 15:01;N56.79166° E60.60528°;
94;237 м;8 м;0:00:01;28 км/ч;142.9° истина;01.11.2025 15:01;N56.79160° E60.60533°;
95;237 м;8 м;0:00:01;28 км/ч;137.0° истина;01.11.2025 15:01;N56.79154° E60.60541°;
96;237 м;8 м;0:00:01;29 км/ч;146.3° истина;01.11.2025 15:01;N56.79149° E60.60550°;
97;236 м;8 м;0:00:01;30 км/ч;153.6° истина;01.11.2025 15:01;N56.79143° E60.60557°;
98;236 м;8 м;0:00:01;30 км/ч;169.0° истина;01.11.2025 15:01;N56.79136° E60.60563°;
99;236 м;9 м;0:00:01;32 км/ч;178.9° истина;01.11.2025 15:01;N56.79129° E60.60566°;
100;237 м;9 м;0:00:01;31 км/ч;180.2° истина;01.11.2025 15:01;N56.79121° E60.60566°;
101;237 м;38 м;0:00:05;27 км/ч;175.9° истина;01.11.2025 15:01;N56.79114° E60.60566°;
102;237 м;7 м;0:00:01;24 км/ч;149.8° истина;01.11.2025 15:02;N56.79080° E60.60570°;
103;238 м;7 м;0:00:01;25 км/ч;108.8° истина;01.11.2025 15:02;N56.79075° E60.60576°;
104;238 м;7 м;0:00:01;25 км/ч;122.8° истина;01.11.2025 15:02;N56.79073° E60.60587°;
105;238 м;7 м;0:00:01;26 км/ч;115.4° истина;01.11.2025 15:02;N56.79069° E60.60596°;
106;238 м;8 м;0:00:01;27 км/ч;102.7° истина;01.11.2025 15:02;N56.79066° E60.60607°;
107;238 м;9 м;0:00:01;32 км/ч;83.4° истина;01.11.2025 15:02;N56.79065° E60.60619°;
108;238 м;9 м;0:00:01;32 км/ч;92.6° истина;01.11.2025 15:02;N56.79066° E60.60633°;
109;238 м;96 м;0:00:09;38 км/ч;96.7° истина;01.11.2025 15:02;N56.79066° E60.60648°;
110;239 м;138 м;0:00:11;45 км/ч;99.4° истина;01.11.2025 15:02;N56.79055° E60.60804°;
111;238 м;156 м;0:00:10;56 км/ч;106.9° истина;01.11.2025 15:02;N56.79035° E60.61028°;
112;239 м;225 м;0:00:13;62 км/ч;118.3° истина;01.11.2025 15:02;N56.78995° E60.61272°;
113;238 м;205 м;0:00:12;62 км/ч;114.4° истина;01.11.2025 15:02;N56.78899° E60.61597°;
114;246 м;155 м;0:00:09;62 км/ч;105.9° истина;01.11.2025 15:03;N56.78823° E60.61904°;
115;249 м;224 м;0:00:13;62 км/ч;99.3° истина;01.11.2025 15:03;N56.78785° E60.62148°;
116;249 м;190 м;0:00:11;62 км/ч;98.5° истина;01.11.2025 15:03;N56.78752° E60.62509°;
117;245 м;136 м;0:00:08;61 км/ч;87.1° истина;01.11.2025 15:03;N56.78727° E60.62817°;
118;243 м;137 м;0:00:08;62 км/ч;71.8° истина;01.11.2025 15:03;N56.78733° E60.63041°;
119;242 м;137 м;0:00:08;62 км/ч;62.1° истина;01.11.2025 15:03;N56.78772° E60.63255°;
120;239 м;138 м;0:00:08;62 км/ч;47.8° истина;01.11.2025 15:04;N56.78829° E60.63454°;
121;235 м;139 м;0:00:08;62 км/ч;32.9° истина;01.11.2025 15:04;N56.78913° E60.63621°;
122;231 м;211 м;0:00:12;63 км/ч;26.8° истина;01.11.2025 15:04;N56.79017° E60.63745°;
123;226 м;122 м;0:00:07;63 км/ч;15.2° истина;01.11.2025 15:04;N56.79187° E60.63901°;
124;224 м;226 м;0:00:13;63 км/ч;12.7° истина;01.11.2025 15:04;N56.79292° E60.63953°;
125;219 м;115 м;0:00:08;52 км/ч;11.0° истина;01.11.2025 15:04;N56.79490° E60.64035°;
126;220 м;57 м;0:00:06;34 км/ч;12.5° истина;01.11.2025 15:04;N56.79591° E60.64071°;
127;222 м;88 м;0:00:13;24 км/ч;17.7° истина;01.11.2025 15:05;N56.79641° E60.64091°;
128;215 м;40 м;0:00:09;16 км/ч;22.3° истина;01.11.2025 15:05;N56.79716° E60.64135°;
129;212 м;37 м;0:00:09;15 км/ч;10.6° истина;01.11.2025 15:05;N56.79750° E60.64160°;
130;210 м;63 м;0:00:08;28 км/ч;12.2° истина;01.11.2025 15:05;N56.79783° E60.64171°;
131;215 м;29 м;0:00:03;34 км/ч;21.4° истина;01.11.2025 15:05;N56.79838° E60.64193°;
132;217 м;10 м;0:00:01;36 км/ч;29.7° истина;01.11.2025 15:05;N56.79862° E60.64210°;
133;218 м;11 м;0:00:01;39 км/ч;35.3° истина;01.11.2025 15:05;N56.79870° E60.64218°;
134;220 м;10 м;0:00:01;37 км/ч;43.7° истина;01.11.2025 15:05;N56.79877° E60.64228°;
135;222 м;10 м;0:00:01;37 км/ч;55.5° истина;01.11.2025 15:05;N56.79884° E60.64240°;
136;223 м;10 м;0:00:01;35 км/ч;61.8° истина;01.11.2025 15:05;N56.79889° E60.64254°;
137;223 м;10 м;0:00:01;36 км/ч;70.9° истина;01.11.2025 15:05;N56.79894° E60.64268°;
138;224 м;10 м;0:00:01;35 км/ч;79.0° истина;01.11.2025 15:05;N56.79897° E60.64284°;
139;224 м;10 м;0:00:01;35 км/ч;85.8° истина;01.11.2025 15:05;N56.79898° E60.64299°;
140;224 м;10 м;0:00:01;35 км/ч;87.6° истина;01.11.2025 15:05;N56.79899° E60.64315°;
141;224 м;9 м;0:00:01;34 км/ч;96.4° истина;01.11.2025 15:05;N56.79899° E60.64331°;
142;224 м;9 м;0:00:01;32 км/ч;102.3° истина;01.11.2025 15:05;N56.79898° E60.64346°;
143;224 м;8 м;0:00:01;30 км/ч;106.8° истина;01.11.2025 15:05;N56.79897° E60.64361°;
144;225 м;8 м;0:00:01;29 км/ч;114.3° истина;01.11.2025 15:05;N56.79894° E60.64374°;
145;225 м;8 м;0:00:01;30 км/ч;116.1° истина;01.11.2025 15:05;N56.79891° E60.64386°;
