Index;Elevation;Leg distance;Leg time;Leg speed;Leg course;Time;Position;Car
1;379 м;0 м;0:00:05;0.2 км/ч;208.0° истина;20.03.2026 12:55;N55.34278° E59.43479°;
2;378 м;693 м;0:32:20;1.3 км/ч;185.1° истина;20.03.2026 12:55;N55.34278° E59.43479°;
3;364 м;130 м;0:00:12;39 км/ч;122.3° истина;20.03.2026 13:28;N55.33658° E59.43381°;
4;363 м;87 м;0:00:10;31 км/ч;121.9° истина;20.03.2026 13:28;N55.33596° E59.43555°;
5;365 м;34 м;0:00:04;31 км/ч;92.3° истина;20.03.2026 13:28;N55.33554° E59.43671°;
6;364 м;127 м;0:00:14;33 км/ч;78.5° истина;20.03.2026 13:28;N55.33553° E59.43725°;
7;366 м;120 м;0:00:14;31 км/ч;79.5° истина;20.03.2026 13:28;N55.33576° E59.43922°;
8;361 м;7 м;0:00:01;24 км/ч;85.2° истина;20.03.2026 13:29;N55.33596° E59.44109°;
9;361 м;99 м;0:00:14;25 км/ч;79.3° истина;20.03.2026 13:29;N55.33596° E59.44119°;
10;357 м;30 м;0:00:06;18 км/ч;143.7° истина;20.03.2026 13:29;N55.33613° E59.44273°;
11;356 м;56 м;0:00:07;29 км/ч;167.6° истина;20.03.2026 13:29;N55.33591° E59.44301°;
12;352 м;49 м;0:00:05;35 км/ч;140.3° истина;20.03.2026 13:29;N55.33542° E59.44320°;
13;349 м;21 м;0:00:02;37 км/ч;124.4° истина;20.03.2026 13:29;N55.33509° E59.44369°;
14;346 м;51 м;0:00:06;31 км/ч;164.7° истина;20.03.2026 13:29;N55.33498° E59.44396°;
15;342 м;101 м;0:00:12;30 км/ч;183.2° истина;20.03.2026 13:29;N55.33454° E59.44417°;
16;337 м;31 м;0:00:09;12 км/ч;175.6° истина;20.03.2026 13:30;N55.33364° E59.44408°;
17;337 м;6 м;0:00:11;2.0 км/ч;167.6° истина;20.03.2026 13:30;N55.33336° E59.44412°;
18;337 м;2 м;0:00:32;0.2 км/ч;351.6° истина;20.03.2026 13:30;N55.33331° E59.44414°;
19;338 м;8 м;0:00:32;0.9 км/ч;39.1° истина;20.03.2026 13:30;N55.33332° E59.44414°;
20;340 м;20 м;0:00:27;2.7 км/ч;169.0° истина;20.03.2026 13:31;N55.33337° E59.44421°;
21;338 м;15 м;0:00:08;7 км/ч;134.3° истина;20.03.2026 13:31;N55.33320° E59.44427°;
22;338 м;12 м;0:00:04;11 км/ч;114.4° истина;20.03.2026 13:32;N55.33310° E59.44444°;
23;338 м;20 м;0:00:04;18 км/ч;132.2° истина;20.03.2026 13:32;N55.33306° E59.44462°;
24;338 м;93 м;0:00:14;24 км/ч;110.4° истина;20.03.2026 13:32;N55.33294° E59.44486°;
25;337 м;13 м;0:00:02;24 км/ч;117.5° истина;20.03.2026 13:32;N55.33264° E59.44624°;
26;336 м;67 м;0:00:10;24 км/ч;135.2° истина;20.03.2026 13:32;N55.33259° E59.44642°;
27;335 м;62 м;0:00:08;28 км/ч;180.7° истина;20.03.2026 13:32;N55.33216° E59.44716°;
28;334 м;124 м;0:00:11;41 км/ч;218.5° истина;20.03.2026 13:32;N55.33160° E59.44715°;
29;334 м;168 м;0:00:14;43 км/ч;231.5° истина;20.03.2026 13:32;N55.33073° E59.44593°;
30;335 м;140 м;0:00:12;42 км/ч;243.2° истина;20.03.2026 13:33;N55.32979° E59.44385°;
31;337 м;53 м;0:00:05;38 км/ч;214.7° истина;20.03.2026 13:33;N55.32922° E59.44188°;
32;338 м;114 м;0:00:10;41 км/ч;194.4° истина;20.03.2026 13:33;N55.32883° E59.44140°;
33;345 м;61 м;0:00:05;44 км/ч;214.7° истина;20.03.2026 13:33;N55.32784° E59.44095°;
34;345 м;194 м;0:00:16;44 км/ч;234.2° истина;20.03.2026 13:33;N55.32739° E59.44040°;
35;342 м;166 м;0:00:16;37 км/ч;234.7° истина;20.03.2026 13:33;N55.32637° E59.43792°;
36;340 м;40 м;0:00:07;21 км/ч;192.6° истина;20.03.2026 13:34;N55.32551° E59.43578°;
37;339 м;110 м;0:00:11;36 км/ч;143.7° истина;20.03.2026 13:34;N55.32515° E59.43564°;
38;342 м;82 м;0:00:07;42 км/ч;143.9° истина;20.03.2026 13:34;N55.32436° E59.43667°;
39;346 м;67 м;0:00:06;40 км/ч;117.3° истина;20.03.2026 13:34;N55.32376° E59.43743°;
40;352 м;34 м;0:00:03;41 км/ч;102.8° истина;20.03.2026 13:34;N55.32349° E59.43837°;
41;356 м;170 м;0:00:14;44 км/ч;118.0° истина;20.03.2026 13:34;N55.32342° E59.43890°;
42;366 м;144 м;0:00:10;52 км/ч;124.4° истина;20.03.2026 13:34;N55.32271° E59.44126°;
43;366 м;175 м;0:00:10;63 км/ч;130.0° истина;20.03.2026 13:35;N55.32197° E59.44314°;
44;355 м;206 м;0:00:11;67 км/ч;134.8° истина;20.03.2026 13:35;N55.32096° E59.44526°;
45;354 м;236 м;0:00:12;71 км/ч;133.3° истина;20.03.2026 13:35;N55.31966° E59.44757°;
46;347 м;257 м;0:00:14;66 км/ч;127.0° истина;20.03.2026 13:35;N55.31821° E59.45028°;
47;338 м;240 м;0:00:13;66 км/ч;121.9° истина;20.03.2026 13:35;N55.31682° E59.45352°;
48;340 м;282 м;0:00:14;72 км/ч;122.3° истина;20.03.2026 13:36;N55.31568° E59.45673°;
49;354 м;337 м;0:00:16;76 км/ч;127.0° истина;20.03.2026 13:36;N55.31433° E59.46049°;
50;365 м;313 м;0:00:15;75 км/ч;134.5° истина;20.03.2026 13:36;N55.31251° E59.46474°;
51;386 м;233 м;0:00:11;76 км/ч;142.2° истина;20.03.2026 13:36;N55.31054° E59.46827°;
52;400 м;337 м;0:00:16;76 км/ч;143.1° истина;20.03.2026 13:37;N55.30889° E59.47052°;
53;426 м;421 м;0:00:20;76 км/ч;142.4° истина;20.03.2026 13:37;N55.30646° E59.47371°;
