Index;Elevation;Leg distance;Leg time;Leg speed;Leg course;Time;Position;Car
1;242 м;55 м;0:00:15;13 км/ч;180.1° истина;22.03.2026 13:21;N56.79847° E60.62036°;
2;239 м;13 м;0:00:12;3.8 км/ч;180.3° истина;22.03.2026 13:21;N56.79798° E60.62036°;
3;239 м;9 м;0:00:30;1.0 км/ч;179.7° истина;22.03.2026 13:21;N56.79786° E60.62035°;
4;237 м;18 м;0:00:11;6 км/ч;167.2° истина;22.03.2026 13:22;N56.79778° E60.62036°;
5;236 м;40 м;0:00:06;24 км/ч;103.3° истина;22.03.2026 13:22;N56.79763° E60.62042°;
6;238 м;148 м;0:00:13;41 км/ч;86.7° истина;22.03.2026 13:22;N56.79754° E60.62105°;
7;239 м;156 м;0:00:14;40 км/ч;76.9° истина;22.03.2026 13:22;N56.79762° E60.62347°;
8;238 м;84 м;0:00:11;28 км/ч;69.2° истина;22.03.2026 13:22;N56.79794° E60.62596°;
9;232 м;6 м;0:00:10;2.1 км/ч;63.1° истина;22.03.2026 13:22;N56.79821° E60.62725°;
10;230 м;9 м;0:00:28;1.1 км/ч;78.3° истина;22.03.2026 13:23;N56.79823° E60.62733°;
11;226 м;64 м;0:00:09;26 км/ч;68.9° истина;22.03.2026 13:23;N56.79825° E60.62748°;
12;227 м;103 м;0:00:15;25 км/ч;70.2° истина;22.03.2026 13:23;N56.79845° E60.62846°;
13;230 м;57 м;0:00:15;14 км/ч;68.0° истина;22.03.2026 13:24;N56.79877° E60.63004°;
14;231 м;27 м;0:00:08;12 км/ч;46.0° истина;22.03.2026 13:24;N56.79896° E60.63091°;
15;229 м;22 м;0:00:04;20 км/ч;350.4° истина;22.03.2026 13:24;N56.79913° E60.63123°;
16;229 м;106 м;0:00:12;32 км/ч;336.3° истина;22.03.2026 13:24;N56.79933° E60.63117°;
17;234 м;49 м;0:00:07;25 км/ч;334.7° истина;22.03.2026 13:24;N56.80020° E60.63047°;
18;237 м;22 м;0:00:05;16 км/ч;22.4° истина;22.03.2026 13:24;N56.80059° E60.63013°;
19;238 м;71 м;0:00:15;17 км/ч;69.1° истина;22.03.2026 13:24;N56.80078° E60.63027°;
20;239 м;27 м;0:00:12;8 км/ч;71.4° истина;22.03.2026 13:25;N56.80101° E60.63135°;
21;240 м;28 м;0:00:07;14 км/ч;74.6° истина;22.03.2026 13:25;N56.80108° E60.63178°;
22;240 м;95 м;0:00:12;29 км/ч;70.8° истина;22.03.2026 13:25;N56.80115° E60.63222°;
23;239 м;102 м;0:00:13;28 км/ч;68.2° истина;22.03.2026 13:25;N56.80143° E60.63370°;
24;239 м;47 м;0:00:11;16 км/ч;71.1° истина;22.03.2026 13:25;N56.80177° E60.63524°;
25;238 м;20 м;0:00:11;7 км/ч;75.8° истина;22.03.2026 13:26;N56.80191° E60.63598°;
26;235 м;12 м;0:00:02;21 км/ч;68.7° истина;22.03.2026 13:26;N56.80195° E60.63630°;
27;235 м;43 м;0:00:07;22 км/ч;101.4° истина;22.03.2026 13:26;N56.80199° E60.63648°;
28;234 м;119 м;0:00:09;47 км/ч;127.0° истина;22.03.2026 13:26;N56.80191° E60.63718°;
29;234 м;204 м;0:00:11;67 км/ч;128.3° истина;22.03.2026 13:26;N56.80127° E60.63873°;
30;237 м;299 м;0:00:16;67 км/ч;129.1° истина;22.03.2026 13:26;N56.80014° E60.64136°;
31;240 м;317 м;0:00:17;67 км/ч;127.6° истина;22.03.2026 13:26;N56.79845° E60.64517°;
32;241 м;271 м;0:00:14;70 км/ч;126.6° истина;22.03.2026 13:27;N56.79671° E60.64929°;
33;236 м;297 м;0:00:15;71 км/ч;120.5° истина;22.03.2026 13:27;N56.79526° E60.65285°;
34;237 м;317 м;0:00:16;71 км/ч;116.8° истина;22.03.2026 13:27;N56.79390° E60.65705°;
35;246 м;300 м;0:00:15;72 км/ч;117.0° истина;22.03.2026 13:27;N56.79262° E60.66169°;
36;245 м;318 м;0:00:16;71 км/ч;117.1° истина;22.03.2026 13:28;N56.79139° E60.66607°;
37;247 м;338 м;0:00:17;72 км/ч;117.2° истина;22.03.2026 13:28;N56.79009° E60.67071°;
38;247 м;358 м;0:00:18;72 км/ч;117.1° истина;22.03.2026 13:28;N56.78871° E60.67564°;
39;250 м;359 м;0:00:18;72 км/ч;117.0° истина;22.03.2026 13:29;N56.78724° E60.68087°;
40;254 м;299 м;0:00:15;72 км/ч;116.9° истина;22.03.2026 13:29;N56.78578° E60.68611°;
41;258 м;279 м;0:00:14;72 км/ч;117.1° истина;22.03.2026 13:29;N56.78456° E60.69048°;
42;258 м;319 м;0:00:16;72 км/ч;117.1° истина;22.03.2026 13:29;N56.78342° E60.69456°;
43;257 м;340 м;0:00:17;72 км/ч;117.9° истина;22.03.2026 13:30;N56.78211° E60.69921°;
44;252 м;300 м;0:00:15;72 км/ч;126.2° истина;22.03.2026 13:30;N56.78068° E60.70414°;
45;247 м;319 м;0:00:16;72 км/ч;134.9° истина;22.03.2026 13:30;N56.77909° E60.70811°;
46;244 м;298 м;0:00:15;72 км/ч;134.4° истина;22.03.2026 13:30;N56.77707° E60.71181°;
47;240 м;300 м;0:00:15;72 км/ч;126.8° истина;22.03.2026 13:31;N56.77520° E60.71531°;
48;234 м;279 м;0:00:14;72 км/ч;120.4° истина;22.03.2026 13:31;N56.77358° E60.71924°;
49;238 м;320 м;0:00:16;72 км/ч;119.0° истина;22.03.2026 13:31;N56.77232° E60.72319°;
50;236 м;378 м;0:00:19;72 км/ч;121.1° истина;22.03.2026 13:31;N56.77092° E60.72778°;
51;231 м;338 м;0:00:17;72 км/ч;122.1° истина;22.03.2026 13:32;N56.76917° E60.73308°;
