Index;Elevation;Leg distance;Leg time;Leg speed;Leg course;Time;Position;Car
1;245 м;12 м;0:00:06;7 км/ч;28.8° истина;22.03.2026 15:48;N56.49603° E60.80814°;
2;245 м;64 м;0:00:16;14 км/ч;93.3° истина;22.03.2026 15:48;N56.49613° E60.80823°;
3;245 м;31 м;0:00:13;9 км/ч;96.9° истина;22.03.2026 15:49;N56.49609° E60.80927°;
4;243 м;63 м;0:00:13;18 км/ч;103.6° истина;22.03.2026 15:49;N56.49606° E60.80977°;
5;240 м;95 м;0:00:14;24 км/ч;98.3° истина;22.03.2026 15:49;N56.49593° E60.81077°;
6;234 м;76 м;0:00:12;23 км/ч;98.9° истина;22.03.2026 15:49;N56.49580° E60.81230°;
7;231 м;27 м;0:00:10;10 км/ч;39.7° истина;22.03.2026 15:49;N56.49570° E60.81351°;
8;234 м;84 м;0:00:10;30 км/ч;3.3° истина;22.03.2026 15:50;N56.49589° E60.81380°;
9;241 м;176 м;0:00:17;37 км/ч;3.6° истина;22.03.2026 15:50;N56.49664° E60.81387°;
10;248 м;104 м;0:00:12;31 км/ч;3.6° истина;22.03.2026 15:50;N56.49821° E60.81405°;
11;250 м;33 м;0:00:09;13 км/ч;24.9° истина;22.03.2026 15:50;N56.49915° E60.81416°;
12;251 м;22 м;0:00:04;20 км/ч;100.7° истина;22.03.2026 15:50;N56.49942° E60.81439°;
13;250 м;99 м;0:00:11;33 км/ч;97.1° истина;22.03.2026 15:50;N56.49938° E60.81474°;
14;250 м;166 м;0:00:14;43 км/ч;97.4° истина;22.03.2026 15:51;N56.49927° E60.81634°;
15;246 м;143 м;0:00:13;40 км/ч;97.0° истина;22.03.2026 15:51;N56.49908° E60.81903°;
16;240 м;139 м;0:00:15;33 км/ч;96.8° истина;22.03.2026 15:51;N56.49892° E60.82134°;
17;234 м;93 м;0:00:11;30 км/ч;96.6° истина;22.03.2026 15:51;N56.49877° E60.82359°;
18;229 м;32 м;0:00:04;29 км/ч;92.9° истина;22.03.2026 15:51;N56.49868° E60.82510°;
19;230 м;58 м;0:00:12;18 км/ч;95.2° истина;22.03.2026 15:52;N56.49866° E60.82562°;
20;228 м;7 м;0:00:05;5 км/ч;69.6° истина;22.03.2026 15:52;N56.49861° E60.82656°;
21;228 м;19 м;0:00:04;17 км/ч;16.5° истина;22.03.2026 15:52;N56.49864° E60.82667°;
22;228 м;117 м;0:00:12;35 км/ч;10.2° истина;22.03.2026 15:52;N56.49880° E60.82676°;
23;228 м;87 м;0:00:12;26 км/ч;10.5° истина;22.03.2026 15:52;N56.49983° E60.82709°;
24;229 м;36 м;0:00:12;11 км/ч;10.0° истина;22.03.2026 15:52;N56.50060° E60.82735°;
25;233 м;27 м;0:00:10;10 км/ч;10.5° истина;22.03.2026 15:53;N56.50092° E60.82745°;
26;233 м;90 м;0:00:12;27 км/ч;21.3° истина;22.03.2026 15:53;N56.50116° E60.82753°;
27;236 м;151 м;0:00:15;36 км/ч;30.3° истина;22.03.2026 15:53;N56.50192° E60.82807°;
28;239 м;90 м;0:00:11;29 км/ч;34.8° истина;22.03.2026 15:53;N56.50309° E60.82931°;
