Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
1076,234 m,5 m,0:00:05,3.5 km/h,13.4ø true,5/21/2023 13:00,N56ø 47.877' E60ø 36.996'
1077,229 m,4 m,0:00:15,0.9 km/h,79.2ø true,5/21/2023 13:01,N56ø 47.879' E60ø 36.997'
1078,259 m,2 m,0:00:06,1.3 km/h,191.9ø true,5/21/2023 13:01,N56ø 47.880' E60ø 37.000'
1079,257 m,12 m,0:00:10,4.5 km/h,96.1ø true,5/21/2023 13:01,N56ø 47.878' E60ø 37.000'
1080,252 m,17 m,0:00:09,7 km/h,87.3ø true,5/21/2023 13:01,N56ø 47.878' E60ø 37.012'
1081,252 m,29 m,0:00:14,7 km/h,88.4ø true,5/21/2023 13:01,N56ø 47.878' E60ø 37.029'
1082,251 m,25 m,0:00:09,10 km/h,92.5ø true,5/21/2023 13:01,N56ø 47.879' E60ø 37.058'
1083,258 m,9 m,0:00:03,11 km/h,92.7ø true,5/21/2023 13:02,N56ø 47.878' E60ø 37.082'
1084,260 m,22 m,0:00:07,11 km/h,98.1ø true,5/21/2023 13:02,N56ø 47.878' E60ø 37.091'
1085,259 m,18 m,0:00:06,11 km/h,63.6ø true,5/21/2023 13:02,N56ø 47.876' E60ø 37.112'
1086,259 m,13 m,0:00:10,5 km/h,86.6ø true,5/21/2023 13:02,N56ø 47.881' E60ø 37.128'
1087,259 m,15 m,0:00:15,3.6 km/h,87.3ø true,5/21/2023 13:02,N56ø 47.881' E60ø 37.141'
1088,257 m,38 m,0:00:11,13 km/h,90.1ø true,5/21/2023 13:02,N56ø 47.881' E60ø 37.156'
1089,257 m,11 m,0:00:03,13 km/h,115.6ø true,5/21/2023 13:02,N56ø 47.881' E60ø 37.193'
1090,257 m,7 m,0:00:02,12 km/h,93.2ø true,5/21/2023 13:03,N56ø 47.879' E60ø 37.203'
1091,257 m,6 m,0:00:02,10 km/h,121.0ø true,5/21/2023 13:03,N56ø 47.879' E60ø 37.209'
1092,257 m,2 m,0:00:01,8 km/h,154.0ø true,5/21/2023 13:03,N56ø 47.877' E60ø 37.214'
1093,257 m,2 m,0:00:01,8 km/h,178.9ø true,5/21/2023 13:03,N56ø 47.876' E60ø 37.215'
1094,257 m,3 m,0:00:01,9 km/h,186.5ø true,5/21/2023 13:03,N56ø 47.875' E60ø 37.215'
1095,257 m,2 m,0:00:01,8 km/h,175.8ø true,5/21/2023 13:03,N56ø 47.873' E60ø 37.215'
1096,257 m,2 m,0:00:01,7 km/h,167.6ø true,5/21/2023 13:03,N56ø 47.872' E60ø 37.215'
1097,257 m,1 m,0:00:01,5 km/h,158.9ø true,5/21/2023 13:03,N56ø 47.871' E60ø 37.216'
1098,257 m,1 m,0:00:11,0.2 km/h,161.7ø true,5/21/2023 13:03,N56ø 47.870' E60ø 37.216'
1099,256 m,1 m,0:00:38,0.1 km/h,3.6ø true,5/21/2023 13:03,N56ø 47.870' E60ø 37.216'
1100,249 m,3 m,0:00:12,0.8 km/h,145.4ø true,5/21/2023 13:04,N56ø 47.871' E60ø 37.216'
1101,248 m,2 m,0:00:01,7 km/h,137.3ø true,5/21/2023 13:04,N56ø 47.870' E60ø 37.218'
1102,248 m,2 m,0:00:01,9 km/h,142.0ø true,5/21/2023 13:04,N56ø 47.869' E60ø 37.219'
1103,248 m,14 m,0:00:05,10 km/h,154.5ø true,5/21/2023 13:04,N56ø 47.868' E60ø 37.221'
1104,246 m,3 m,0:00:02,5 km/h,175.9ø true,5/21/2023 13:04,N56ø 47.861' E60ø 37.227'
1105,242 m,2 m,0:00:01,7 km/h,148.9ø true,5/21/2023 13:04,N56ø 47.859' E60ø 37.227'
